setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,8200.6273,20.739,0.324,5.282638633400402e+17,0.9685526982129339,3.99699021820918
1,8202.0168,20.736,0.324,5.2826016702293606e+17,0.9778623984879758,3.99699021820918
2,8211.34,20.712,0.323,5.282709199454208e+17,0.9880194570644792,3.99699021820918
3,8201.2698,20.738,0.324,5.2820405020871885e+17,0.9665725758994919,3.99699021820918
4,8208.3705,20.72,0.324,5.282070744681677e+17,0.9759308281971748,3.99699021820918
5,8208.7516,20.719,0.324,5.28177167902507e+17,0.9648852626602333,3.99699021820918
6,8213.671,20.706,0.323,5.283760969684746e+17,0.9646940326475235,3.99699021820918
7,8220.6426,20.689,0.323,5.285888032163758e+17,0.9690155180462872,3.99699021820918
8,8217.5801,20.697,0.323,5.2818019216195584e+17,0.9883336387125843,3.99699021820918
9,8215.4331,20.702,0.323,5.281287797513257e+17,0.9643357410488358,3.99699021820918
