setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,8229.7305,20.666,0.323,5.282638633400402e+17,0.9970355234052761,3.99699021820918
1,8232.2002,20.66,0.323,5.2826016702293606e+17,0.9572747887437603,3.99699021820918
2,8223.8537,20.681,0.323,5.282709199454208e+17,0.9761259877179043,3.99699021820918
3,8229.5913,20.666,0.323,5.2820405020871885e+17,0.955370553825275,3.99699021820918
4,8227.9854,20.67,0.323,5.282070744681677e+17,1.3832310723612107,3.99699021820918
5,8227.1744,20.672,0.323,5.28177167902507e+17,1.2099964475057212,3.99699021820918
6,8222.8548,20.683,0.323,5.283760969684746e+17,1.181850936937045,3.99699021820918
7,8223.2002,20.682,0.323,5.285888032163758e+17,1.1987963510924076,3.99699021820918
8,8219.3326,20.692,0.323,5.2818019216195584e+17,1.305847248399114,3.99699021820918
9,8228.2955,20.67,0.323,5.281287797513257e+17,0.9286109575306076,3.99699021820918
