setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,8163.7351,20.781,0.324,5.2712943001790054e+17,0.8390927992738626,3.9954734062617883
1,8165.4748,20.777,0.324,5.269153796546888e+17,0.8033854857852452,3.9954734062617883
2,8171.1544,20.762,0.324,5.267628225669366e+17,0.8079480713407798,3.9954734062617883
3,8172.709,20.758,0.324,5.269392377014518e+17,0.8225396725706463,3.9954734062617883
4,8172.9919,20.758,0.324,5.2714555940162765e+17,0.7934957285301923,3.9954734062617883
5,8170.2603,20.765,0.324,5.2700476332284314e+17,0.7990024989285138,3.9954734062617883
6,8168.073,20.77,0.324,5.2701114787056845e+17,0.809442905771048,3.9954734062617883
0,8188.0557,20.719,0.323,5.2712943001790054e+17,0.8390927992738626,3.9954734062617883
1,8182.836,20.733,0.324,5.269153796546888e+17,0.8033854857852452,3.9954734062617883
2,8187.1307,20.722,0.323,5.267628225669366e+17,0.8079480713407798,3.9954734062617883
3,8195.7435,20.7,0.323,5.269392377014518e+17,0.8225396725706463,3.9954734062617883
4,8201.8832,20.685,0.323,5.2714555940162765e+17,0.7934957285301923,3.9954734062617883
5,8205.6436,20.675,0.323,5.2700476332284314e+17,0.7990024989285138,3.9954734062617883
6,8201.554,20.685,0.323,5.2701114787056845e+17,0.809442905771048,3.9954734062617883
8,8198.4899,20.693,0.323,5.267379564336906e+17,0.8110800688000244,3.9954734062617883
9,8204.0323,20.679,0.323,5.26887489261994e+17,0.8108533194958263,3.9954734062617883
