setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,8220.3818,20.638,0.322,5.2712943001790054e+17,0.9214251294416963,3.9954734062617883
1,8216.8886,20.647,0.322,5.269153796546888e+17,0.9863208995124725,3.9954734062617883
2,8220.2433,20.638,0.322,5.267628225669366e+17,0.9385167041574,3.9954734062617883
3,8214.943,20.652,0.322,5.269392377014518e+17,0.9880368958066957,3.9954734062617883
4,8220.8271,20.637,0.322,5.2714555940162765e+17,1.1341944540375308,3.9954734062617883
5,8218.1418,20.644,0.322,5.2700476332284314e+17,1.3937513918314817,3.9954734062617883
6,8219.2495,20.641,0.322,5.2701114787056845e+17,0.9346374401153035,3.9954734062617883
0,8173.7618,20.756,0.324,5.2712943001790054e+17,0.9214251294416963,3.9954734062617883
1,8171.8125,20.761,0.324,5.269153796546888e+17,0.9863208995124725,3.9954734062617883
2,8165.7134,20.776,0.324,5.267628225669366e+17,0.9385167041574,3.9954734062617883
3,8155.8849,20.801,0.325,5.269392377014518e+17,0.9880368958066957,3.9954734062617883
4,8170.6936,20.763,0.324,5.2714555940162765e+17,1.1341944540375308,3.9954734062617883
5,8159.35,20.792,0.325,5.2700476332284314e+17,1.3937513918314817,3.9954734062617883
6,8166.9425,20.773,0.324,5.2701114787056845e+17,0.9346374401153035,3.9954734062617883
8,8155.1217,20.803,0.325,5.267379564336906e+17,1.4121597421853564,3.9954734062617883
9,8166.3177,20.775,0.324,5.26887489261994e+17,0.9177383618412421,3.9954734062617883
