setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13922.787,7.29,0.456,7.750916886539796e+17,0.642116477029471,4.0
1,13918.1695,7.293,0.456,7.747368430424556e+17,0.6379874254686084,4.0
2,13941.0144,7.281,0.455,7.757167008106414e+17,0.628480132561163,4.0
3,13934.6636,7.284,0.455,7.749962566902743e+17,0.6302221575270385,4.0
4,13957.9434,7.272,0.455,7.768901107305677e+17,0.6443709153846413,4.0
5,13947.8946,7.277,0.455,7.765970942786273e+17,0.6284439001528341,4.0
6,13924.6018,7.29,0.456,7.754451901533389e+17,0.6344535403414001,4.0
7,13952.9272,7.275,0.455,7.770876952188027e+17,0.6316521802886588,4.0
8,13942.5535,7.28,0.455,7.760460082910331e+17,0.6342246293796115,4.0
9,13950.2463,7.276,0.455,7.764169832485356e+17,0.6217903860881079,4.0
