setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13853.6346,7.327,0.458,7.750916886539796e+17,0.763504297856575,4.0
1,13866.7577,7.32,0.457,7.747368430424556e+17,0.7477454618277195,4.0
2,13867.4455,7.32,0.457,7.757167008106414e+17,0.7691612500711468,4.0
3,13865.7638,7.32,0.458,7.749962566902743e+17,0.753982196690005,4.0
4,13887.7927,7.309,0.457,7.768901107305677e+17,0.7910596211200103,4.0
5,13917.2017,7.293,0.456,7.765970942786273e+17,0.7693294857218768,4.0
6,13911.2572,7.297,0.456,7.754451901533389e+17,0.8100748692003805,4.0
7,13937.6583,7.283,0.455,7.770876952188027e+17,0.8064258961479119,4.0
8,13946.1927,7.278,0.455,7.760460082910331e+17,0.7644915959573484,4.0
9,13933.9828,7.285,0.455,7.764169832485356e+17,0.710281252710696,4.0
