setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13996.1278,7.102,0.444,7.781938995304858e+17,0.6228519622848177,3.9993561886367295
1,13985.1752,7.108,0.444,7.76683789513261e+17,0.6177876107706536,3.9993561886367295
2,14009.5289,7.095,0.443,7.77697922141651e+17,0.6114018037099648,3.9993561886367295
3,13989.0168,7.106,0.444,7.776891854125793e+17,0.6170769847751969,3.9993561886367295
4,13997.3441,7.101,0.444,7.778968507420508e+17,0.6276374064333118,3.9993561886367295
5,13998.9289,7.101,0.444,7.787100386017935e+17,0.6152566284497784,3.9993561886367295
6,13978.7542,7.111,0.444,7.779647284063764e+17,0.6171015561663252,3.9993561886367295
7,14009.1329,7.095,0.443,7.791065516904284e+17,0.6108685410260694,3.9993561886367295
8,13986.1122,7.107,0.444,7.7788004933999e+17,0.6125020328369435,3.9993561886367295
9,13993.1485,7.103,0.444,7.776347488699023e+17,0.6161759907556056,3.9993561886367295
