setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13976.06,7.112,0.444,7.781938995304858e+17,0.6584373561321192,3.9993561886367295
1,13958.0504,7.121,0.445,7.76683789513261e+17,0.6125873729097252,3.9993561886367295
2,13980.2911,7.11,0.444,7.77697922141651e+17,0.6554117854456708,3.9993561886367295
3,13971.7024,7.114,0.445,7.776891854125793e+17,0.616327977073016,3.9993561886367295
4,13975.3619,7.113,0.444,7.778968507420508e+17,0.6277623019982981,3.9993561886367295
5,13987.44,7.106,0.444,7.787100386017935e+17,0.6199324939685411,3.9993561886367295
6,13968.2127,7.116,0.445,7.779647284063764e+17,0.6098216068184307,3.9993561886367295
7,13994.9974,7.103,0.444,7.791065516904284e+17,0.6185112741403401,3.9993561886367295
8,13962.9572,7.119,0.445,7.7788004933999e+17,0.6201109388760421,3.9993561886367295
9,13970.1845,7.115,0.445,7.776347488699023e+17,0.6136606656115667,3.9993561886367295
