setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13945.3949,7.128,0.445,7.781938995304858e+17,0.7497979278957467,3.9993561886367295
1,13945.6277,7.128,0.445,7.76683789513261e+17,0.7720198057116958,3.9993561886367295
2,13966.4752,7.117,0.445,7.77697922141651e+17,0.7535456312293786,3.9993561886367295
3,13960.864,7.12,0.445,7.776891854125793e+17,0.7807992940093346,3.9993561886367295
4,13964.0465,7.118,0.445,7.778968507420508e+17,0.792932913676432,3.9993561886367295
5,13980.2708,7.11,0.444,7.787100386017935e+17,0.6693839431960431,3.9993561886367295
6,13981.178,7.11,0.444,7.779647284063764e+17,0.7740031338781982,3.9993561886367295
7,13989.6095,7.105,0.444,7.791065516904284e+17,0.7782765965421815,3.9993561886367295
8,13966.7676,7.117,0.445,7.7788004933999e+17,0.669853297035232,3.9993561886367295
9,13956.876,7.122,0.445,7.776347488699023e+17,0.7840915406356683,3.9993561886367295
