setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1645.8565,21.348,0.333,1.0529261697053491e+17,1.2711523518945178,3.9927140255009106
1,1644.7,21.363,0.333,1.0517433482320282e+17,1.1669893090742347,3.9927140255009106
2,1642.9075,21.386,0.334,1.0509906436580966e+17,1.2674827358148393,3.9927140255009106
3,1643.1644,21.383,0.334,1.0528724050929254e+17,1.2514354068867481,3.9927140255009106
4,1642.7536,21.388,0.334,1.0503992329214362e+17,1.2318063617622765,3.9927140255009106
5,1644.986,21.359,0.333,1.0523347589686886e+17,1.1645138002660154,3.9927140255009106
6,1640.7443,21.415,0.334,1.0495389991226573e+17,1.2370441656043059,3.9927140255009106
7,1643.1605,21.383,0.334,1.0516358190071808e+17,1.2094077759415565,3.9927140255009106
8,1642.6147,21.39,0.334,1.0503992329214362e+17,1.2127774892932308,3.9927140255009106
9,1643.404,21.38,0.333,1.0509906436580966e+17,1.1805307021106246,3.9927140255009106
