setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1643.7485,21.376,0.333,1.0529261697053491e+17,1.0317293544755364,3.9927140255009106
1,1642.6678,21.39,0.334,1.0517433482320282e+17,0.9977919498499292,3.9927140255009106
2,1641.3297,21.407,0.334,1.0509906436580966e+17,1.0539187262528134,3.9927140255009106
3,1644.462,21.366,0.333,1.0528724050929254e+17,1.0123898661049613,3.9927140255009106
4,1641.0754,21.41,0.334,1.0503992329214362e+17,1.093551837614853,3.9927140255009106
5,1643.3809,21.38,0.333,1.0523347589686886e+17,0.9941581287523256,3.9927140255009106
6,1640.5522,21.417,0.334,1.0495389991226573e+17,0.9703356184228493,3.9927140255009106
7,1642.8256,21.388,0.334,1.0516358190071808e+17,0.9825304311557408,3.9927140255009106
8,1641.3575,21.407,0.334,1.0503992329214362e+17,1.0301902563902583,3.9927140255009106
9,1642.0436,21.398,0.334,1.0509906436580966e+17,1.017359029637636,3.9927140255009106
