setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1675.7145,20.774,0.325,1.0565283987377357e+17,1.2358934392823893,4.0
1,1648.5166,21.117,0.33,1.0545155860601242e+17,1.1394758658374058,4.0
2,1649.0497,21.11,0.33,1.0551271585264435e+17,1.194198917816667,4.0
3,1651.2232,21.083,0.329,1.0570458831323136e+17,1.1705800334320349,4.0
4,1650.6854,21.089,0.33,1.055873142523822e+17,1.1938209599431824,4.0
5,1653.8633,21.049,0.329,1.05746927945515e+17,1.160715346388957,4.0
6,1652.5566,21.066,0.329,1.0557084883982746e+17,1.1947369807783295,4.0
7,1653.2975,21.056,0.329,1.0562394139459584e+17,1.1965840901522076,4.0
8,1651.0571,21.085,0.329,1.0552649303457792e+17,1.1695206195992582,4.0
9,1650.5352,21.091,0.33,1.0541459543497114e+17,1.170402532991241,4.0
