setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2928.9949,12.488,0.195,1.9887530135519232e+17,0.9878272551756638,4.0
1,2940.2377,12.44,0.195,1.9963875885160858e+17,1.003523160736044,4.0
3,2921.2565,12.521,0.196,1.9818442608554803e+17,1.0906464470016373,4.0
5,2923.4749,12.511,0.196,1.9863067236866458e+17,1.1060358377603383,4.0
0,2827.9013,12.934,0.201,1.7841786632798208e+17,1.0332711011591091,3.9755030621172356
1,2838.7524,12.885,0.2,1.791893885162619e+17,1.0029515372195714,3.9755030621172356
2,2837.619,12.89,0.2,1.7913024744259584e+17,0.9624387151758436,3.9755030621172356
3,2829.0352,12.929,0.201,1.7852001909158707e+17,1.0339751646552287,3.9755030621172356
4,2829.3061,12.928,0.201,1.7848507209351168e+17,1.1285419271025858,3.9755030621172356
5,2834.1872,12.905,0.2,1.78767336308736e+17,0.9683684379282133,3.9755030621172356
6,2828.9605,12.929,0.201,1.7865711885326746e+17,1.0294153354537319,3.9755030621172356
7,2833.1342,12.91,0.2,1.7899045945029427e+17,0.9884022793299715,3.9755030621172356
8,2835.2252,12.901,0.2,1.7899045945029427e+17,0.9894445773581384,3.9755030621172356
9,2835.9275,12.897,0.2,1.7875658338625126e+17,1.0256306361144698,3.9755030621172356
