setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2835.7018,12.843,0.2,1.788234531229532e+17,1.0888861862706467,3.989464442493415
1,2835.8224,12.843,0.2,1.7873675768542003e+17,1.018301869781924,3.989464442493415
2,2837.7464,12.834,0.2,1.7871222758100173e+17,0.9867637837436837,3.989464442493415
3,2840.0303,12.824,0.2,1.788792339083428e+17,1.0174823462123601,3.989464442493415
4,2837.4313,12.836,0.2,1.7872365256114176e+17,0.9840741820738349,3.989464442493415
5,2837.9107,12.833,0.2,1.7862956448940032e+17,0.9341478045557586,3.989464442493415
6,2838.8646,12.829,0.2,1.7875490324211302e+17,0.971605937245866,3.989464442493415
7,2840.4485,12.822,0.2,1.7895685656752947e+17,1.016847507214882,3.989464442493415
8,2849.361,12.782,0.199,1.79085219579691e+17,0.9853994670048566,3.989464442493415
9,2839.7329,12.825,0.2,1.7922534360082022e+17,1.120779832484017,3.989464442493415
