setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5977.9353,11.726,0.183,3.8166826301915136e+17,1.3035051787729228,3.987220447284345
1,5984.6799,11.713,0.182,3.822018767974564e+17,1.2555348873138428,3.987220447284345
2,5984.4648,11.713,0.182,3.824559145911583e+17,1.2433267320905412,3.987220447284345
3,5985.5894,11.711,0.182,3.8202176534583706e+17,1.237713901114551,3.987220447284345
4,5989.8477,11.702,0.182,3.8266156423367885e+17,1.29818651615045,3.987220447284345
5,5976.1094,11.729,0.183,3.8202848592239e+17,1.2475450545440228,3.987220447284345
6,5983.6384,11.715,0.182,3.824680116289536e+17,1.2599178644327016,3.987220447284345
7,5986.6876,11.709,0.182,3.8222203852711526e+17,1.256943988276052,3.987220447284345
8,5975.2566,11.731,0.183,3.821817150677975e+17,1.2964450352357857,3.987220447284345
9,5983.2949,11.715,0.183,3.823524177122427e+17,1.255835277256948,3.987220447284345
