setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,6009.6319,11.664,0.182,3.8166826301915136e+17,1.2302881824227916,3.987220447284345
1,6020.5299,11.643,0.181,3.822018767974564e+17,1.1815801575070335,3.987220447284345
2,6018.159,11.647,0.181,3.824559145911583e+17,1.1309036081963844,3.987220447284345
3,6020.409,11.643,0.181,3.8202176534583706e+17,1.1838749846914312,3.987220447284345
4,6018.6016,11.647,0.181,3.8266156423367885e+17,1.1287912472045465,3.987220447284345
5,6008.5634,11.666,0.182,3.8202848592239e+17,1.1337851652732263,3.987220447284345
6,6016.6329,11.65,0.181,3.824680116289536e+17,1.1388173317297912,3.987220447284345
7,6020.544,11.643,0.181,3.8222203852711526e+17,1.1607254769775894,3.987220447284345
8,6004.8063,11.673,0.182,3.821817150677975e+17,1.1407449603517414,3.987220447284345
9,6011.7778,11.66,0.182,3.823524177122427e+17,1.3300987110906468,3.987220447284345
