setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5960.7502,11.754,0.183,3.7957849974000845e+17,1.1243346489611126,3.989041095890411
1,5966.3867,11.742,0.183,3.7949382047544115e+17,1.0958929354454572,3.989041095890411
2,5950.2972,11.774,0.184,3.790102749924557e+17,1.090140497291481,3.989041095890411
3,5950.418,11.774,0.184,3.7853613831664435e+17,1.094024883412616,3.989041095890411
4,5951.8307,11.771,0.183,3.7882445105076634e+17,1.1134799062769054,3.989041095890411
5,5950.0835,11.775,0.184,3.7844507450435174e+17,1.0951976094927107,3.989041095890411
6,5957.5188,11.76,0.183,3.7923407019166925e+17,1.0708020030360519,3.989041095890411
7,5955.7605,11.763,0.183,3.7916619236848435e+17,1.0781075668422293,3.989041095890411
8,5954.2055,11.766,0.183,3.788503252704952e+17,1.146908530385503,3.989041095890411
9,5953.1481,11.769,0.183,3.790929380840571e+17,1.1172790081946404,3.989041095890411
