setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5945.8762,11.783,0.184,3.7957849974000845e+17,1.248960331573591,3.989041095890411
1,5946.1122,11.782,0.184,3.7949382047544115e+17,1.1494161903639852,3.989041095890411
2,5933.0093,11.809,0.184,3.790102749924557e+17,1.1856423856574536,3.989041095890411
3,5929.5309,11.815,0.184,3.7853613831664435e+17,1.0978714727656744,3.989041095890411
4,5928.411,11.818,0.184,3.7882445105076634e+17,1.117249921782986,3.989041095890411
5,5934.7204,11.805,0.184,3.7844507450435174e+17,1.1379508103206482,3.989041095890411
6,5940.6584,11.793,0.184,3.7923407019166925e+17,1.1533382762046087,3.989041095890411
7,5934.4536,11.806,0.184,3.7916619236848435e+17,1.1389742622445354,3.989041095890411
8,5935.3413,11.804,0.184,3.788503252704952e+17,1.275128458882426,3.989041095890411
9,5936.7902,11.801,0.184,3.790929380840571e+17,1.114824991959792,3.989041095890411
