setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5847.8716,29.083,0.454,3.971854022222807e+17,0.8753888517259115,3.99699021820918
1,5849.8693,29.073,0.454,3.970795531415716e+17,0.882663880127022,3.99699021820918
2,5850.807,29.069,0.454,3.97270081486848e+17,0.9270986174962607,3.99699021820918
3,5866.5547,28.991,0.453,3.9702041206790554e+17,0.8648193515388363,3.99699021820918
4,5849.1903,29.077,0.454,3.97096354582954e+17,0.9008881345570806,3.99699021820918
5,5849.5756,29.075,0.454,3.9726000062201856e+17,0.8891272130141775,3.99699021820918
6,5850.3362,29.071,0.454,3.9747270686991974e+17,0.9165237633040152,3.99699021820918
7,5855.4707,29.046,0.454,3.9716322431965594e+17,0.8919045224965337,3.99699021820918
8,5851.0872,29.067,0.454,3.970671200749486e+17,0.8831960421549269,3.99699021820918
9,5842.3706,29.111,0.455,3.968974255169864e+17,0.8869936132287405,3.99699021820918
