setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5792.4218,29.362,0.459,3.971854022222807e+17,0.9685507210263287,3.99699021820918
1,5794.8422,29.35,0.458,3.970795531415716e+17,0.9683978998337883,3.99699021820918
2,5789.5792,29.376,0.459,3.97270081486848e+17,1.3448902461902206,3.99699021820918
3,5811.4571,29.266,0.457,3.9702041206790554e+17,1.0624948843236428,3.99699021820918
4,5794.2882,29.352,0.458,3.97096354582954e+17,0.984560205545052,3.99699021820918
5,5791.1097,29.368,0.459,3.9726000062201856e+17,0.9910499774907009,3.99699021820918
6,5795.5941,29.346,0.458,3.9747270686991974e+17,1.0839940040226441,3.99699021820918
7,5787.2841,29.388,0.459,3.9716322431965594e+17,1.4049318773918842,3.99699021820918
8,5793.9434,29.354,0.458,3.970671200749486e+17,1.322312874607293,3.99699021820918
9,5875.4359,28.947,0.452,3.968974255169864e+17,0.9699610263468271,3.99699021820918
