setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5845.5075,29.023,0.453,3.9699386579052134e+17,0.8499441407958547,3.9954734062617883
1,5854.1437,28.98,0.452,3.966175135035556e+17,0.8342425160537673,3.9954734062617883
2,5835.0015,29.075,0.454,3.9621327082389504e+17,0.8664150347882528,3.9954734062617883
3,5888.7163,28.81,0.45,3.967821676291031e+17,0.85344143198336,3.9954734062617883
4,5836.7315,29.066,0.454,3.968648307207045e+17,0.8466941900663866,3.9954734062617883
5,5843.7226,29.031,0.453,3.9664876418452685e+17,0.8339853701814784,3.9954734062617883
6,5855.068,28.975,0.452,3.965089761922253e+17,0.8373351911943845,3.9954734062617883
7,5841.6282,29.042,0.453,3.96358435277439e+17,0.8161812655155032,3.9954734062617883
8,5853.1723,28.985,0.452,3.964508432050422e+17,0.8174303306373585,3.9954734062617883
9,5842.7142,29.037,0.453,3.968164425695232e+17,0.8420503004440008,3.9954734062617883
