setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5896.7916,28.77,0.449,3.9699386579052134e+17,1.2800831535431554,3.9954734062617883
1,5903.4196,28.738,0.449,3.966175135035556e+17,0.9232048559765081,3.9954734062617883
2,5859.288,28.954,0.452,3.9621327082389504e+17,0.9382851478556492,3.9954734062617883
3,5867.4257,28.914,0.451,3.967821676291031e+17,0.9180212363015489,3.9954734062617883
4,5891.0768,28.798,0.449,3.968648307207045e+17,0.978821784347926,3.9954734062617883
5,5912.6088,28.693,0.448,3.9664876418452685e+17,0.9127014033563908,3.9954734062617883
6,5905.864,28.726,0.448,3.965089761922253e+17,1.2957453255927094,3.9954734062617883
7,5897.4767,28.767,0.449,3.96358435277439e+17,0.9563006584017658,3.9954734062617883
8,5869.8109,28.902,0.451,3.964508432050422e+17,1.3168798022399857,3.9954734062617883
9,5899.3785,28.758,0.449,3.968164425695232e+17,0.9230855811398555,3.9954734062617883
