setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13359.6698,7.598,0.475,7.324779565791314e+17,0.6442228190384777,4.0
1,13363.9576,7.595,0.475,7.319564410591642e+17,0.6461294098354378,4.0
2,13361.6008,7.597,0.475,7.329846868652851e+17,0.6469324401017246,4.0
3,13345.5462,7.606,0.475,7.322534898475991e+17,0.6398479061349193,4.0
4,13369.8087,7.592,0.475,7.342938521138627e+17,0.6480998713311752,4.0
5,13372.8302,7.59,0.474,7.338785214549197e+17,0.6356468199180324,4.0
6,13356.0823,7.6,0.475,7.326903263011799e+17,0.6356643685627104,4.0
7,13393.9149,7.578,0.474,7.346124066969354e+17,0.6512988877176186,4.0
8,13357.7445,7.599,0.475,7.332871121023795e+17,0.6416934926114497,4.0
9,13379.0488,7.587,0.474,7.336701840693658e+17,0.6448607235808691,4.0
