setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13396.0773,7.577,0.474,7.324779565791314e+17,0.7439496455547338,4.0
1,13378.5805,7.587,0.474,7.319564410591642e+17,0.8027638267598868,4.0
2,13392.7029,7.579,0.474,7.329846868652851e+17,0.7503423677266471,4.0
3,13370.8655,7.591,0.474,7.322534898475991e+17,0.730075247426051,4.0
4,13392.1029,7.579,0.474,7.342938521138627e+17,0.702627179225787,4.0
5,13401.6386,7.574,0.473,7.338785214549197e+17,0.7571166787592489,4.0
6,13377.8648,7.587,0.474,7.326903263011799e+17,0.7280564290878903,4.0
7,13416.3258,7.566,0.473,7.346124066969354e+17,0.7302576164429606,4.0
8,13397.0673,7.577,0.474,7.332871121023795e+17,0.7327516857642694,4.0
9,13406.8802,7.571,0.473,7.336701840693658e+17,0.7654124159379986,4.0
