setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13308.0575,7.469,0.467,7.341876672528384e+17,0.6466282422666925,3.9993561886367295
1,13282.2148,7.484,0.468,7.32852291817046e+17,0.6150734183562623,3.9993561886367295
2,13290.7908,7.479,0.467,7.338771773427548e+17,0.629021107190974,3.9993561886367295
3,13307.9978,7.469,0.467,7.339551358483169e+17,0.61953859749872,3.9993561886367295
4,13293.5251,7.477,0.467,7.341339027662438e+17,0.6367921251215938,3.9993561886367295
5,13307.464,7.469,0.467,7.349269289435136e+17,0.6214200845473978,3.9993561886367295
6,13297.3814,7.475,0.467,7.339558079043994e+17,0.6257289567457348,3.9993561886367295
7,13313.2159,7.466,0.467,7.352065042738053e+17,0.6510987826799932,3.9993561886367295
8,13297.5771,7.475,0.467,7.340888750087209e+17,0.6321524381637573,3.9993561886367295
9,13294.1481,7.477,0.467,7.336883295835914e+17,0.6289182972769851,3.9993561886367295
