setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1183.0584,29.699,0.463,7.91845211775959e+16,1.1215538430387957,3.9927140255009106
1,1179.133,29.798,0.465,7.902860380156723e+16,1.064124193504779,3.9927140255009106
2,1180.7006,29.759,0.464,7.898559211162829e+16,1.0738027635281973,3.9927140255009106
3,1176.1775,29.873,0.466,7.909849779771802e+16,1.0724686540826394,3.9927140255009106
4,1180.4468,29.765,0.464,7.898559211162829e+16,1.1107642537485944,3.9927140255009106
5,1181.5835,29.736,0.464,7.912538010392986e+16,1.0308064526885095,3.9927140255009106
6,1177.3858,29.842,0.465,7.895870980541645e+16,1.1122463567413552,3.9927140255009106
7,1181.8165,29.731,0.464,7.917376825511117e+16,1.0692222466434005,3.9927140255009106
8,1179.9178,29.778,0.464,7.890494519299277e+16,1.0506173755130628,3.9927140255009106
9,1177.8112,29.832,0.465,7.895333334417408e+16,1.0609388508065773,3.9927140255009106
