setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1180.9122,29.753,0.464,7.91845211775959e+16,1.0571487506810766,3.9927140255009106
1,1178.6608,29.81,0.465,7.902860380156723e+16,1.0501195662213068,3.9927140255009106
2,1178.0905,29.825,0.465,7.898559211162829e+16,1.0673554187273457,3.9927140255009106
3,1174.1358,29.925,0.467,7.909849779771802e+16,1.069531294551209,3.9927140255009106
4,1180.181,29.772,0.464,7.898559211162829e+16,1.102462853828486,3.9927140255009106
5,1179.9408,29.778,0.464,7.912538010392986e+16,1.0511251809823252,3.9927140255009106
6,1176.8178,29.857,0.466,7.895870980541645e+16,1.018237321916288,3.9927140255009106
7,1180.3818,29.767,0.464,7.917376825511117e+16,1.0199998608470833,3.9927140255009106
8,1179.2571,29.795,0.465,7.890494519299277e+16,1.0097368381319254,3.9927140255009106
9,1176.915,29.854,0.466,7.895333334417408e+16,0.9905584049920966,3.9927140255009106
