setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1196.0547,29.106,0.455,7.962807923009126e+16,1.2078531485270052,4.0
1,1185.7759,29.358,0.459,7.959380428967117e+16,1.1759122092934216,4.0
2,1187.4346,29.317,0.458,7.952088603407155e+16,1.200641983133905,4.0
3,1191.4271,29.219,0.457,7.977660397191168e+16,1.2332658487207748,4.0
4,1186.3,29.345,0.459,7.952491838000333e+16,1.283593769020894,4.0
5,1195.4161,29.121,0.455,7.984078547799245e+16,1.1405681406750399,4.0
6,1192.4336,29.194,0.456,7.966974680471962e+16,1.23809003084898,4.0
7,1186.8818,29.331,0.458,7.962606305712538e+16,1.223479292848531,4.0
8,1186.4256,29.342,0.459,7.95289507259351e+16,1.2660747906740974,4.0
9,1186.0002,29.352,0.459,7.948190669006438e+16,1.1744027593556572,4.0
