setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1209.4835,28.783,0.45,7.962807923009126e+16,0.9721951309372397,4.0
1,1206.0714,28.864,0.451,7.959380428967117e+16,0.9965382906443933,4.0
2,1210.4724,28.759,0.449,7.952088603407155e+16,0.9784270257634275,4.0
3,1215.3483,28.644,0.448,7.977660397191168e+16,1.0216351116404814,4.0
4,1211.4736,28.735,0.449,7.952491838000333e+16,1.0616383149343378,4.0
5,1217.6245,28.59,0.447,7.984078547799245e+16,0.9605991467833519,4.0
6,1208.6837,28.802,0.45,7.966974680471962e+16,1.1169871604617905,4.0
7,1207.675,28.826,0.45,7.962606305712538e+16,1.0248661356813766,4.0
8,1213.0275,28.698,0.448,7.95289507259351e+16,0.9846109528751934,4.0
9,1209.6059,28.78,0.45,7.948190669006438e+16,0.9942958574084675,4.0
