setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2346.774,15.586,0.244,1.726704292598907e+17,1.0396682834708608,4.0
1,2358.183,15.51,0.243,1.7351184544432128e+17,0.9545314949709218,4.0
2,2354.3312,15.536,0.243,1.7289892886269133e+17,0.9608635433487125,4.0
3,2358.0471,15.511,0.243,1.720145009883218e+17,0.9997005006233295,4.0
4,2351.7197,15.553,0.243,1.7304409331623526e+17,1.0887271374255627,4.0
5,2350.8803,15.558,0.243,1.7250375896137728e+17,0.9360828022439996,4.0
6,2348.9451,15.571,0.244,1.7309248146741658e+17,0.9915513604670971,4.0
7,2350.8311,15.559,0.243,1.7302796393250816e+17,1.0062138015156858,4.0
8,2346.262,15.589,0.244,1.7336668099077734e+17,1.0010102966448644,4.0
9,2345.6064,15.593,0.244,1.7242580027336294e+17,0.9582099908298546,4.0
