setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2350.3058,15.562,0.243,1.726704292598907e+17,1.0578073873803333,4.0
1,2362.2888,15.483,0.242,1.7351184544432128e+17,1.0061372135068987,4.0
2,2355.0742,15.531,0.243,1.7289892886269133e+17,1.0158054370146532,4.0
3,2359.5627,15.501,0.242,1.720145009883218e+17,1.0100625332418856,4.0
4,2358.8398,15.506,0.242,1.7304409331623526e+17,1.063855968572043,4.0
5,2355.952,15.525,0.243,1.7250375896137728e+17,1.108006808307621,4.0
6,2351.2767,15.556,0.243,1.7309248146741658e+17,1.019714846269234,4.0
7,2357.104,15.517,0.243,1.7302796393250816e+17,1.0115916804000213,4.0
8,2354.1392,15.537,0.243,1.7336668099077734e+17,0.9818237871973665,4.0
9,2354.1696,15.537,0.243,1.7242580027336294e+17,0.9993756438468719,4.0
