setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2327.1674,15.65,0.244,1.7151717832340275e+17,1.1772138963282948,3.9859649122807017
1,2332.3025,15.615,0.244,1.7216470587428045e+17,1.0712991902525997,3.9859649122807017
2,2327.7937,15.646,0.244,1.711052069807063e+17,1.0956578053219217,3.9859649122807017
3,2329.3165,15.635,0.244,1.7199232308569702e+17,1.0685722341000194,3.9859649122807017
4,2325.469,15.661,0.244,1.7137705430227354e+17,1.2116623982577257,3.9859649122807017
5,2325.4727,15.661,0.244,1.7146038945153024e+17,1.060338364520543,3.9859649122807017
6,2327.2179,15.65,0.244,1.7157195102230938e+17,1.1409263829110374,3.9859649122807017
7,2333.0465,15.61,0.243,1.720215575937024e+17,1.1382148996205397,3.9859649122807017
8,2326.929,15.652,0.244,1.719187327724421e+17,1.0939854500998913,3.9859649122807017
9,2332.9256,15.611,0.243,1.7220166904532173e+17,1.0976857618546823,3.9859649122807017
