setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2335.0179,15.597,0.243,1.7151717832340275e+17,1.2760027563068228,3.9859649122807017
1,2341.043,15.557,0.243,1.7216470587428045e+17,1.0049122437624864,3.9859649122807017
2,2334.0886,15.604,0.243,1.711052069807063e+17,0.9656258082725633,3.9859649122807017
3,2339.0129,15.571,0.243,1.7199232308569702e+17,0.9569696926734816,3.9859649122807017
4,2335.2318,15.596,0.243,1.7137705430227354e+17,1.0250175544913387,3.9859649122807017
5,2333.3706,15.608,0.243,1.7146038945153024e+17,0.9677795431983303,3.9859649122807017
6,2334.776,15.599,0.243,1.7157195102230938e+17,1.0137352859470206,3.9859649122807017
7,2337.1237,15.583,0.243,1.720215575937024e+17,1.0158140986738071,3.9859649122807017
8,2332.1379,15.617,0.244,1.719187327724421e+17,1.0019571520912816,3.9859649122807017
9,2334.1473,15.603,0.243,1.7220166904532173e+17,1.0525685246561614,3.9859649122807017
