setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5044.3212,13.896,0.216,3.292746482122752e+17,1.1332733308002625,3.987220447284345
1,5051.8354,13.875,0.216,3.2990503829294285e+17,1.1484407217074664,3.987220447284345
2,5063.7995,13.843,0.216,3.301200967426376e+17,1.1460604514831152,3.987220447284345
3,5055.2582,13.866,0.216,3.2961739761647616e+17,1.1129782636523684,3.987220447284345
4,5059.4822,13.854,0.216,3.303445639995064e+17,1.1356279525783035,3.987220447284345
5,5050.0865,13.88,0.216,3.296980445351117e+17,1.128354047244285,3.987220447284345
6,5062.0059,13.847,0.216,3.301980554306519e+17,1.1120342099186264,3.987220447284345
7,5064.7345,13.84,0.216,3.299319205991547e+17,1.141290734539102,3.987220447284345
8,5057.5476,13.86,0.216,3.299426735216394e+17,1.1489417596614404,3.987220447284345
9,5055.5559,13.865,0.216,3.2990503829294285e+17,1.1306449960876297,3.987220447284345
