setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5044.2911,13.896,0.216,3.292746482122752e+17,1.1586815007440336,3.987220447284345
1,5046.6001,13.89,0.216,3.2990503829294285e+17,1.2923461019774496,3.987220447284345
2,5059.4738,13.854,0.216,3.301200967426376e+17,1.2019172596844125,3.987220447284345
3,5049.4712,13.882,0.216,3.2961739761647616e+17,1.1446946975075718,3.987220447284345
4,5063.115,13.844,0.216,3.303445639995064e+17,1.2415788081976085,3.987220447284345
5,5049.9778,13.88,0.216,3.296980445351117e+17,1.1806275172111316,3.987220447284345
6,5058.664,13.857,0.216,3.301980554306519e+17,1.1518299662586533,3.987220447284345
7,5060.5103,13.852,0.216,3.299319205991547e+17,1.1374178452369494,3.987220447284345
8,5049.8875,13.881,0.216,3.299426735216394e+17,1.148171299324804,3.987220447284345
9,5050.014,13.88,0.216,3.2990503829294285e+17,1.1850661430166753,3.987220447284345
