setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4996.4246,14.022,0.219,3.2717345995299226e+17,1.2615148339952742,3.989041095890411
1,4989.0785,14.043,0.219,3.271459055891251e+17,1.2717429892920749,3.989041095890411
2,4986.9194,14.049,0.219,3.265998587441971e+17,1.2636650617306049,3.989041095890411
3,4985.809,14.052,0.219,3.261230338377646e+17,1.229594947654249,3.989041095890411
4,4993.7876,14.029,0.219,3.264973699517645e+17,1.3047012178015795,3.989041095890411
5,4981.8982,14.063,0.219,3.261358029332152e+17,1.249569642238128,3.989041095890411
6,4988.0279,14.046,0.219,3.2685759285500314e+17,1.239876926163614,3.989041095890411
7,4994.1893,14.028,0.219,3.268740582675579e+17,1.2998508699647673,3.989041095890411
8,4982.7314,14.061,0.219,3.2644965385823846e+17,1.297949255604447,3.989041095890411
9,4979.3211,14.07,0.219,3.26775601821057e+17,1.2190765234140248,3.989041095890411
