setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5010.7809,13.982,0.218,3.2717345995299226e+17,1.1387566860778864,3.989041095890411
1,5003.4774,14.002,0.218,3.271459055891251e+17,1.1354271990038973,3.989041095890411
2,5000.1579,14.012,0.218,3.265998587441971e+17,1.137515357562474,3.989041095890411
3,4994.5194,14.027,0.219,3.261230338377646e+17,1.1075529683203924,3.989041095890411
4,5003.4972,14.002,0.218,3.264973699517645e+17,1.1426135801570318,3.989041095890411
5,4993.6159,14.03,0.219,3.261358029332152e+17,1.1055019290455967,3.989041095890411
6,5005.9865,13.995,0.218,3.2685759285500314e+17,1.1358144309494522,3.989041095890411
7,5007.0648,13.992,0.218,3.268740582675579e+17,1.15776549918311,3.989041095890411
8,4992.7266,14.032,0.219,3.2644965385823846e+17,1.1499495056522635,3.989041095890411
9,4992.243,14.034,0.219,3.26775601821057e+17,1.1503036413000616,3.989041095890411
