setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,5015.9891,13.967,0.218,3.2717345995299226e+17,1.1496631424505632,3.989041095890411
1,5009.8039,13.985,0.218,3.271459055891251e+17,1.1658651726149813,3.989041095890411
2,5004.3201,14.0,0.218,3.265998587441971e+17,1.1347803236582341,3.989041095890411
3,5000.1425,14.012,0.218,3.261230338377646e+17,1.17404206659331,3.989041095890411
4,5009.5421,13.985,0.218,3.264973699517645e+17,1.1124482809842289,3.989041095890411
5,5001.6384,14.007,0.218,3.261358029332152e+17,1.1759501145436213,3.989041095890411
6,5007.3374,13.991,0.218,3.2685759285500314e+17,1.1524719986723455,3.989041095890411
7,5013.1339,13.975,0.218,3.268740582675579e+17,1.1193188075180893,3.989041095890411
8,4999.2788,14.014,0.218,3.2644965385823846e+17,1.1302501218659537,3.989041095890411
9,4998.8832,14.015,0.218,3.26775601821057e+17,1.1591251399709193,3.989041095890411
