setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4835.3435,35.174,0.549,3.127601754486866e+17,1.2353163174836033,3.99699021820918
1,4840.0096,35.14,0.549,3.126573506274263e+17,1.2235698272664863,3.99699021820918
2,4842.0825,35.125,0.549,3.1269196159667405e+17,1.2413099190915924,3.99699021820918
3,4842.7675,35.12,0.548,3.128240209259397e+17,1.229034065123064,3.99699021820918
4,4840.8058,35.134,0.549,3.127033865768141e+17,1.2302910276206143,3.99699021820918
5,4842.8384,35.119,0.548,3.1284317456911565e+17,1.220750913562545,3.99699021820918
6,4839.8522,35.141,0.549,3.127195159605412e+17,1.2193409240389446,3.99699021820918
7,4852.6664,35.048,0.547,3.1297758610017485e+17,1.2281917495181762,3.99699021820918
8,4850.0004,35.067,0.548,3.1289996344098816e+17,1.22750695857657,3.99699021820918
9,4850.0465,35.067,0.548,3.128240209259397e+17,1.2195454618657928,3.99699021820918
10,4875.5406,34.884,0.545,3.1277395263062016e+17,1.251197903271181,3.99699021820918
11,4873.5575,34.898,0.545,3.1285930395284275e+17,1.226887778704425,3.99699021820918
12,4869.3,34.928,0.545,3.1252596335581594e+17,1.2304879904511463,3.99699021820918
13,4868.9332,34.931,0.545,3.1289929138333286e+17,1.2203532421445271,3.99699021820918
14,4842.8895,35.119,0.548,3.1254982140257894e+17,1.2261730737714882,3.99699021820918
15,4848.843,35.076,0.548,3.128293973871821e+17,1.2219568318631275,3.99699021820918
16,4838.9178,35.148,0.549,3.125867845736202e+17,1.2368059266044433,3.99699021820918
17,4844.4201,35.108,0.548,3.1285090323215155e+17,1.2374620821820683,3.99699021820918
18,4863.9077,34.967,0.546,3.1286703261587866e+17,1.2300641960408314,3.99699021820918
19,4842.4043,35.122,0.548,3.1281931652235264e+17,1.2219463920736888,3.99699021820918
20,4837.3266,35.159,0.549,3.125451169989919e+17,1.2409993586051895,3.99699021820918
21,4841.8127,35.127,0.549,3.131150218906829e+17,1.2257552452116127,3.99699021820918
22,4839.6654,35.142,0.549,3.127756327747584e+17,1.2176566368126007,3.99699021820918
23,4845.4724,35.1,0.548,3.12800834936832e+17,1.241627020290099,3.99699021820918
24,4856.8129,35.018,0.547,3.127379975460618e+17,1.222193652247808,3.99699021820918
25,4858.1664,35.008,0.547,3.127870577548984e+17,1.243106206497514,3.99699021820918
26,4860.2289,34.993,0.546,3.128616561546363e+17,1.2207689464810383,3.99699021820918
27,4867.5318,34.941,0.546,3.12837126050218e+17,1.2374810644661087,3.99699021820918
28,4859.0346,35.002,0.547,3.127517747279954e+17,1.2459548490952297,3.99699021820918
29,4853.9611,35.039,0.547,3.130743624025375e+17,1.2238610839269248,3.99699021820918
