setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,8383.1918,20.288,0.317,3.127601754486866e+17,1.4294925615730056,3.99699021820918
1,4857.6993,35.012,0.547,3.126573506274263e+17,1.2213268534964825,3.99699021820918
2,4830.9021,35.206,0.55,3.1269196159667405e+17,1.3425716621329986,3.99699021820918
3,4827.7035,35.229,0.55,3.128240209259397e+17,1.3813595689204803,3.99699021820918
4,4821.481,35.275,0.551,3.127033865768141e+17,1.225921877356897,3.99699021820918
5,4844.67,35.106,0.548,3.1284317456911565e+17,1.2150084889796844,3.99699021820918
6,4839.544,35.143,0.549,3.127195159605412e+17,1.2274170991886093,3.99699021820918
7,4835.2481,35.174,0.549,3.1297758610017485e+17,1.4064661806606384,3.99699021820918
8,4839.7418,35.142,0.549,3.1289996344098816e+17,1.2490156951798015,3.99699021820918
9,4837.3738,35.159,0.549,3.128240209259397e+17,1.3742929481598267,3.99699021820918
10,4837.6595,35.157,0.549,3.1277395263062016e+17,1.256933193968003,3.99699021820918
11,4835.8675,35.17,0.549,3.1285930395284275e+17,1.2647452763764255,3.99699021820918
12,4839.3716,35.144,0.549,3.1252596335581594e+17,1.3793288910963448,3.99699021820918
13,4844.8044,35.105,0.548,3.1289929138333286e+17,1.2231542292129562,3.99699021820918
14,4816.4754,35.311,0.551,3.1254982140257894e+17,1.2217780075159417,3.99699021820918
15,4823.787,35.258,0.551,3.128293973871821e+17,1.3963038813636963,3.99699021820918
16,4816.0014,35.315,0.551,3.125867845736202e+17,1.2464489778840397,3.99699021820918
17,4812.0615,35.344,0.552,3.1285090323215155e+17,1.3811685967158123,3.99699021820918
18,4812.4971,35.34,0.552,3.1286703261587866e+17,1.3172264889062169,3.99699021820918
19,4828.9973,35.22,0.55,3.1281931652235264e+17,1.2280580484005341,3.99699021820918
20,4826.3171,35.239,0.55,3.125451169989919e+17,1.2724735776343978,3.99699021820918
21,4836.0477,35.168,0.549,3.131150218906829e+17,1.2717135157211716,3.99699021820918
22,4825.8521,35.243,0.55,3.127756327747584e+17,1.2942700272942165,3.99699021820918
23,4835.361,35.173,0.549,3.12800834936832e+17,1.3977695610149796,3.99699021820918
24,4832.5867,35.194,0.55,3.127379975460618e+17,1.2302243530032146,3.99699021820918
25,4830.3004,35.21,0.55,3.127870577548984e+17,1.3579446741615433,3.99699021820918
26,4823.4554,35.26,0.551,3.128616561546363e+17,1.2336730935487403,3.99699021820918
27,4826.2947,35.239,0.55,3.12837126050218e+17,1.2972131683883896,3.99699021820918
28,4825.5065,35.245,0.55,3.127517747279954e+17,1.3596162444137665,3.99699021820918
29,4834.4284,35.18,0.549,3.130743624025375e+17,1.261669084609273,3.99699021820918
