setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4809.2052,35.277,0.551,3.1214658680940134e+17,1.228213262702043,3.9954734062617883
1,4808.8846,35.279,0.551,3.123821430175826e+17,1.2199314310471456,3.9954734062617883
2,4805.6957,35.302,0.551,3.122702454179758e+17,1.2345259200410181,3.9954734062617883
3,4804.3795,35.312,0.551,3.124681663974605e+17,1.2219172557675226,3.9954734062617883
4,4815.6488,35.229,0.55,3.125454530278195e+17,1.224501922051352,3.9954734062617883
5,4807.0372,35.292,0.551,3.125014332513976e+17,1.215634244086159,3.9954734062617883
6,4806.0259,35.3,0.551,3.1230351227191296e+17,1.2132310074981967,3.9954734062617883
7,4809.1891,35.277,0.551,3.1233913132764365e+17,1.2215413507017845,3.9954734062617883
8,4810.8129,35.265,0.55,3.12201359508308e+17,1.224771816204682,3.9954734062617883
9,4809.0286,35.278,0.551,3.1232938649164186e+17,1.2132450940025536,3.9954734062617883
10,4803.5963,35.318,0.551,3.122756218792182e+17,1.2369308194365025,3.9954734062617883
11,4798.5603,35.355,0.552,3.124110414967603e+17,1.2214883655939939,3.9954734062617883
12,4803.42,35.319,0.551,3.125283155576095e+17,1.2236578968716532,3.9954734062617883
13,4798.6963,35.354,0.552,3.1235526071137075e+17,1.2128310052289704,3.9954734062617883
14,4797.8692,35.36,0.552,3.1243792380297216e+17,1.2200730668093862,3.9954734062617883
15,4797.581,35.362,0.552,3.123240100303995e+17,1.2193289764698179,3.9954734062617883
16,4796.0841,35.373,0.552,3.1236164525909606e+17,1.2269781575822398,3.9954734062617883
17,4799.7649,35.346,0.552,3.123004880124641e+17,1.2313296247465013,3.9954734062617883
18,4798.4932,35.355,0.552,3.122682292450099e+17,1.220702129188261,3.9954734062617883
19,4798.5148,35.355,0.552,3.12404656949035e+17,1.2138413356510174,3.9954734062617883
20,4796.2432,35.372,0.552,3.123928959400673e+17,1.244274300751009,3.9954734062617883
21,4799.8232,35.345,0.552,3.124197782462792e+17,1.218027896391301,3.9954734062617883
22,4826.8564,35.148,0.549,3.124261627940045e+17,1.2111246297726819,3.9954734062617883
23,4812.5786,35.252,0.55,3.12200351421825e+17,1.2373951680710669,3.9954734062617883
24,4814.6097,35.237,0.55,3.1247555903166874e+17,1.2142790361473568,3.9954734062617883
25,4820.3644,35.195,0.549,3.1223899473700454e+17,1.238137750467145,3.9954734062617883
26,4813.6097,35.244,0.55,3.1232300194391654e+17,1.2095242655889504,3.9954734062617883
27,4812.8706,35.25,0.55,3.1238315110406554e+17,1.2300556163413288,3.9954734062617883
28,4827.3827,35.144,0.549,3.126314764076974e+17,1.2407258965097525,3.9954734062617883
29,4818.6212,35.208,0.55,3.122594924954911e+17,1.2177426955491035,3.9954734062617883
