setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4788.9294,35.426,0.553,3.1214658680940134e+17,1.239242069670801,3.9954734062617883
1,4790.2993,35.416,0.553,3.123821430175826e+17,1.2169565128055584,3.9954734062617883
2,4786.9606,35.44,0.553,3.122702454179758e+17,1.21770291548121,3.9954734062617883
3,4778.7516,35.501,0.554,3.124681663974605e+17,1.3785076278214008,3.9954734062617883
4,4785.8891,35.448,0.553,3.125454530278195e+17,1.210552684129905,3.9954734062617883
5,4835.4167,35.085,0.548,3.125014332513976e+17,1.2480158546539952,3.9954734062617883
6,4831.0274,35.117,0.548,3.1230351227191296e+17,1.2193923814059024,3.9954734062617883
7,4828.2673,35.137,0.548,3.1233913132764365e+17,1.2568120951018664,3.9954734062617883
8,4830.4068,35.122,0.548,3.12201359508308e+17,1.2137156339570474,3.9954734062617883
9,4830.3847,35.122,0.548,3.1232938649164186e+17,1.403478570935229,3.9954734062617883
10,4831.2288,35.116,0.548,3.122756218792182e+17,1.2950645076544263,3.9954734062617883
11,4833.1795,35.102,0.548,3.124110414967603e+17,1.2528197012639117,3.9954734062617883
12,4841.2926,35.043,0.547,3.125283155576095e+17,1.3470277663804253,3.9954734062617883
13,4825.8763,35.155,0.549,3.1235526071137075e+17,1.325616045660843,3.9954734062617883
14,4832.8002,35.104,0.548,3.1243792380297216e+17,1.2599433267944888,3.9954734062617883
15,4830.7029,35.12,0.548,3.123240100303995e+17,1.3855071939370422,3.9954734062617883
16,4825.3962,35.158,0.549,3.1236164525909606e+17,1.4377397842637722,3.9954734062617883
17,4832.2833,35.108,0.548,3.123004880124641e+17,1.2122165854243714,3.9954734062617883
18,4831.3137,35.115,0.548,3.122682292450099e+17,1.202354105937877,3.9954734062617883
19,4821.7327,35.185,0.549,3.12404656949035e+17,1.3554730152435532,3.9954734062617883
20,4829.3201,35.13,0.548,3.123928959400673e+17,1.2710575751307507,3.9954734062617883
21,4820.9897,35.19,0.549,3.124197782462792e+17,1.3440673448528049,3.9954734062617883
22,4833.9799,35.096,0.548,3.124261627940045e+17,1.2573622490344092,3.9954734062617883
23,4829.3158,35.13,0.548,3.12200351421825e+17,1.2298395612088575,3.9954734062617883
24,4828.4077,35.136,0.548,3.1247555903166874e+17,1.2409765417842347,3.9954734062617883
25,4821.4772,35.187,0.549,3.1223899473700454e+17,1.227628797202672,3.9954734062617883
26,4825.7775,35.155,0.549,3.1232300194391654e+17,1.2083183377531,3.9954734062617883
27,4824.3705,35.166,0.549,3.1238315110406554e+17,1.3041589152056645,3.9954734062617883
28,4814.7799,35.236,0.55,3.126314764076974e+17,1.4286334849556408,3.9954734062617883
29,4823.3732,35.173,0.549,3.122594924954911e+17,1.3233735399303839,3.9954734062617883
