setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,12869.543,7.887,0.493,6.804487187894108e+17,0.7832186415998211,4.0
1,12880.705,7.88,0.493,6.799594619614003e+17,0.777975243247322,4.0
2,12893.1264,7.873,0.492,6.810737309460726e+17,0.7734541652482214,4.0
3,12868.8604,7.888,0.493,6.803022105634406e+17,0.7716319111526989,4.0
4,12888.6393,7.875,0.492,6.822726789971313e+17,0.7825140838815465,4.0
5,12888.961,7.875,0.492,6.819043922639585e+17,0.7687893669963033,4.0
6,12867.257,7.889,0.493,6.806973795399107e+17,0.7724078099935082,4.0
7,12918.6926,7.857,0.491,6.825509102152581e+17,0.7710838734276809,4.0
8,12876.1961,7.883,0.493,6.813304563695616e+17,0.7750174343811459,4.0
9,12892.7012,7.873,0.492,6.818170249732424e+17,0.7724938918783566,4.0
10,12886.0241,7.877,0.492,6.816611079621181e+17,0.7809397028794355,4.0
11,12886.6689,7.877,0.492,6.809944283283456e+17,0.7694087329157364,4.0
12,12920.1482,7.856,0.491,6.812014216017347e+17,0.7735967165584973,4.0
13,12928.2182,7.851,0.491,6.818613806746829e+17,0.770396446219609,4.0
14,12885.9078,7.877,0.492,6.814272324454318e+17,0.7701080395625188,4.0
15,12883.4409,7.879,0.492,6.797565010245059e+17,0.7747390615985192,4.0
16,12915.2715,7.859,0.491,6.823291317080556e+17,0.7814146971041137,4.0
17,12886.4597,7.877,0.492,6.809554490755645e+17,0.7734468306448842,4.0
18,12888.7413,7.875,0.492,6.810186223473132e+17,0.7727861145856552,4.0
19,12899.8911,7.869,0.492,6.806032916883702e+17,0.7755286284683631,4.0
20,12899.3807,7.869,0.492,6.808828670186619e+17,0.7737416619761445,4.0
21,12900.7998,7.868,0.492,6.819944477790044e+17,0.7736017973095292,4.0
22,12897.3231,7.87,0.492,6.808062526252646e+17,0.774276475136698,4.0
23,12907.2955,7.864,0.492,6.819998242276639e+17,0.7797416153952272,4.0
24,12895.0715,7.872,0.492,6.816073434755236e+17,0.7819829669606039,4.0
25,12890.4456,7.874,0.492,6.803842014054973e+17,0.7795128826084834,4.0
26,12912.3323,7.861,0.491,6.818976717031342e+17,0.7728026810690554,4.0
27,12908.2885,7.863,0.491,6.815320731942912e+17,0.7699233419807983,4.0
28,12907.8897,7.864,0.491,6.825683836734013e+17,0.7819504380075808,4.0
29,12872.864,7.885,0.493,6.807497999143404e+17,0.779995305390857,4.0
