setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,12814.5644,7.757,0.485,6.838405858374451e+17,0.7668577456428248,3.9993561886367295
1,12814.11,7.757,0.485,6.82452790027223e+17,0.7609486280528485,3.9993561886367295
2,12831.3857,7.747,0.484,6.83544881161175e+17,0.7591361202736171,3.9993561886367295
3,12844.2709,7.739,0.484,6.834434006927278e+17,0.7557948573665778,3.9993561886367295
4,12845.795,7.738,0.484,6.836302322836439e+17,0.7666062937194273,3.9993561886367295
5,12851.3465,7.735,0.483,6.846013533227581e+17,0.7550027629903878,3.9993561886367295
6,12836.6994,7.743,0.484,6.836006618160169e+17,0.756325655419521,3.9993561886367295
7,12876.0053,7.72,0.482,6.849071388402647e+17,0.7572223550645444,3.9993561886367295
8,12848.3583,7.736,0.483,6.836705556485898e+17,0.772206207436281,3.9993561886367295
9,12831.8818,7.746,0.484,6.833634260189184e+17,0.7558780425760105,3.9993561886367295
10,12843.6602,7.739,0.484,6.84450140704211e+17,0.7666942088433565,3.9993561886367295
11,12812.7525,7.758,0.485,6.824440532981514e+17,0.7556043939289553,3.9993561886367295
12,12892.2829,7.71,0.482,6.851994832361226e+17,0.7582003427795342,3.9993561886367295
13,12888.9442,7.712,0.482,6.845059213590528e+17,0.7550708374052914,3.9993561886367295
14,12880.3777,7.717,0.482,6.842888472444273e+17,0.7550340659834843,3.9993561886367295
15,12867.1602,7.725,0.483,6.839467706984694e+17,0.7614454876892964,3.9993561886367295
16,12869.6346,7.724,0.483,6.825677116173189e+17,0.7650059960537854,3.9993561886367295
17,12877.7904,7.719,0.482,6.852989475363226e+17,0.7591192435235725,3.9993561886367295
18,12887.2059,7.713,0.482,6.849111711767593e+17,0.7582844931006202,3.9993561886367295
19,12874.3614,7.721,0.483,6.852848343585915e+17,0.7605249537856672,3.9993561886367295
20,12895.9376,7.708,0.482,6.84720979305431e+17,0.7579194298883599,3.9993561886367295
21,12882.6728,7.716,0.482,6.845832078085325e+17,0.7583486335322078,3.9993561886367295
22,12875.8115,7.72,0.482,6.830677213426483e+17,0.7582934579769413,3.9993561886367295
23,12856.4582,7.732,0.483,6.835415208807629e+17,0.7645020173276077,3.9993561886367295
24,12861.4224,7.729,0.483,6.834178625615954e+17,0.767168906759003,3.9993561886367295
25,12850.7188,7.735,0.483,6.837431377054925e+17,0.7644762916865843,3.9993561886367295
26,12871.6461,7.722,0.483,6.844286349095731e+17,0.7719078782444528,3.9993561886367295
27,12897.6486,7.707,0.482,6.845764872477082e+17,0.7555492805498152,3.9993561886367295
28,12834.7437,7.745,0.484,6.843493322918461e+17,0.7666406726652932,3.9993561886367295
29,12840.4901,7.741,0.484,6.846840162208973e+17,0.7649232240469319,3.9993561886367295
