setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,988.451,35.547,0.554,6.268416162476851e+16,1.440495404013752,3.9927140255009106
1,986.8095,35.606,0.555,6.251211486501274e+16,1.3684883430926469,3.9927140255009106
2,986.7955,35.606,0.555,6.268953808601088e+16,1.3810946767347572,3.9927140255009106
3,982.3537,35.767,0.558,6.269491454725325e+16,1.3910063339845977,3.9927140255009106
4,989.1642,35.521,0.554,6.252824424873984e+16,1.3972279590411778,3.9927140255009106
5,985.7818,35.643,0.556,6.262502055110246e+16,1.3217331492987863,3.9927140255009106
6,984.09,35.704,0.557,6.241533856265011e+16,1.3527492554518428,3.9927140255009106
7,987.0916,35.595,0.555,6.272717331470746e+16,1.3779976994451815,3.9927140255009106
8,983.4556,35.727,0.557,6.240996210140774e+16,1.369263151266279,3.9927140255009106
9,983.241,35.735,0.557,6.25174913262551e+16,1.3568328418870912,3.9927140255009106
10,982.0453,35.778,0.558,6.230243287656038e+16,1.4712418674552528,3.9927140255009106
11,986.3281,35.623,0.556,6.256587947743642e+16,1.4075341433504203,3.9927140255009106
12,986.6327,35.612,0.555,6.2501361942528e+16,1.3714398432822124,3.9927140255009106
13,986.82,35.605,0.555,6.256587947743642e+16,1.3379395704199797,3.9927140255009106
14,986.7744,35.607,0.555,6.263039701234483e+16,1.4089227714677797,3.9927140255009106
15,987.3445,35.586,0.555,6.247447963631616e+16,1.3751558387366525,3.9927140255009106
16,982.8422,35.749,0.558,6.237770333395354e+16,1.4041927939783918,3.9927140255009106
17,987.3956,35.585,0.555,6.249598548128563e+16,1.3877708163574665,3.9927140255009106
18,985.1013,35.667,0.556,6.242609148513485e+16,1.3575070878885087,3.9927140255009106
19,982.022,35.779,0.558,6.236157395022643e+16,1.375927657106497,3.9927140255009106
20,986.3141,35.624,0.556,6.250673840377037e+16,1.3802655369695955,3.9927140255009106
21,985.2442,35.662,0.556,6.253899717122458e+16,1.3382687847109607,3.9927140255009106
22,986.9406,35.601,0.555,6.246372671383142e+16,1.3961316216601072,3.9927140255009106
23,985.8372,35.641,0.556,6.240996210140774e+16,1.420178371624355,3.9927140255009106
24,986.7644,35.607,0.555,6.26196440898601e+16,1.3643540570335666,3.9927140255009106
25,987.3825,35.585,0.555,6.261426762861773e+16,1.427415922610429,3.9927140255009106
26,988.2811,35.553,0.554,6.246372671383142e+16,1.3812782485989759,3.9927140255009106
27,984.0779,35.704,0.557,6.247985609755853e+16,1.3954179391373682,3.9927140255009106
28,984.701,35.682,0.557,6.260889116737536e+16,1.4784368633353797,3.9927140255009106
29,986.8172,35.605,0.555,6.264114993482957e+16,1.3618209762294797,3.9927140255009106
