setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,988.8306,35.533,0.554,6.268416162476851e+16,1.3048456098041394,3.9927140255009106
1,1024.6276,34.291,0.535,6.251211486501274e+16,1.2721186815387142,3.9927140255009106
2,1057.3848,33.229,0.518,6.268953808601088e+16,1.2943932279183046,3.9927140255009106
3,1058.8297,33.184,0.518,6.269491454725325e+16,1.2790103097901726,3.9927140255009106
4,1056.9632,33.242,0.518,6.252824424873984e+16,1.2937945240605486,3.9927140255009106
5,982.8862,35.748,0.558,6.262502055110246e+16,1.267565422684607,3.9927140255009106
6,981.3586,35.803,0.558,6.241533856265011e+16,1.2760119890644603,3.9927140255009106
7,983.9336,35.71,0.557,6.272717331470746e+16,1.2820763135478443,3.9927140255009106
8,981.3946,35.802,0.558,6.240996210140774e+16,1.3032286950271494,3.9927140255009106
9,981.7835,35.788,0.558,6.25174913262551e+16,1.296491964019998,3.9927140255009106
10,978.5638,35.906,0.56,6.230243287656038e+16,1.3617133363320009,3.9927140255009106
11,984.3934,35.693,0.557,6.256587947743642e+16,1.2954059447685298,3.9927140255009106
12,984.8696,35.676,0.556,6.2501361942528e+16,1.3373166783882753,3.9927140255009106
13,984.8582,35.676,0.556,6.256587947743642e+16,1.2666943490940288,3.9927140255009106
14,985.2627,35.662,0.556,6.263039701234483e+16,1.3261136225540273,3.9927140255009106
15,986.4388,35.619,0.556,6.247447963631616e+16,1.3106450442850155,3.9927140255009106
16,983.7839,35.715,0.557,6.237770333395354e+16,1.31377863709944,3.9927140255009106
17,985.4228,35.656,0.556,6.249598548128563e+16,1.29151363442414,3.9927140255009106
18,983.6988,35.718,0.557,6.242609148513485e+16,1.2734038290316172,3.9927140255009106
19,980.8263,35.823,0.559,6.236157395022643e+16,1.2844527916316568,3.9927140255009106
20,983.6581,35.72,0.557,6.250673840377037e+16,1.2731046502607581,3.9927140255009106
21,984.3141,35.696,0.557,6.253899717122458e+16,1.313569813749216,3.9927140255009106
22,981.4832,35.799,0.558,6.246372671383142e+16,1.279559650560365,3.9927140255009106
23,984.6219,35.685,0.557,6.240996210140774e+16,1.2766527920743844,3.9927140255009106
24,985.7567,35.644,0.556,6.26196440898601e+16,1.2831523836094096,3.9927140255009106
25,983.3781,35.73,0.557,6.261426762861773e+16,1.280665388942635,3.9927140255009106
26,984.9313,35.674,0.556,6.246372671383142e+16,1.3006897633963257,3.9927140255009106
27,983.1444,35.738,0.557,6.247985609755853e+16,1.2898412307683569,3.9927140255009106
28,984.3905,35.693,0.557,6.260889116737536e+16,1.3451817383731368,3.9927140255009106
29,985.9892,35.635,0.556,6.264114993482957e+16,1.2733713066490897,3.9927140255009106
