setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1001.0593,34.775,0.543,6.336092368365158e+16,1.2886338865055758,4.0
1,996.2049,34.945,0.546,6.324600182459597e+16,1.2437335647204344,4.0
2,999.2245,34.839,0.544,6.326952384253133e+16,1.2686258440508562,4.0
3,1001.6011,34.756,0.543,6.338612584572518e+16,1.2486941831953384,4.0
4,998.6608,34.859,0.545,6.320971071120998e+16,1.2564097660429336,4.0
5,1002.9215,34.711,0.542,6.356791744148275e+16,1.2121053145212286,4.0
6,1001.0614,34.775,0.543,6.346710879318835e+16,1.2705999994102646,4.0
7,1001.2719,34.768,0.543,6.332127228198912e+16,1.250951035934336,4.0
8,1000.0427,34.811,0.544,6.319122912568934e+16,1.2751807219841902,4.0
9,997.9951,34.882,0.545,6.308571607380787e+16,1.276186869424932,4.0
10,995.8862,34.956,0.546,6.32580988623913e+16,1.3100431868258644,4.0
11,998.4015,34.868,0.545,6.323524890211123e+16,1.2667625555220772,4.0
12,1000.5502,34.793,0.544,6.323088052735181e+16,1.2382332862300032,4.0
13,999.7716,34.82,0.544,6.335453913592627e+16,1.2146260808495914,4.0
14,999.2062,34.84,0.544,6.31979497022423e+16,1.2843390378881903,4.0
15,999.7171,34.822,0.544,6.321441511479706e+16,1.2572124635472017,4.0
16,998.4085,34.867,0.545,6.320399822113997e+16,1.2622077635982458,4.0
17,999.6442,34.824,0.544,6.332228036847206e+16,1.2574304421158398,4.0
18,1000.7703,34.785,0.544,6.33659641160663e+16,1.23015115804532,4.0
19,998.3139,34.871,0.545,6.326817972722074e+16,1.2506573059979607,4.0
20,999.3545,34.834,0.544,6.332799285854208e+16,1.245882263954948,4.0
21,1001.2858,34.767,0.543,6.326851575604838e+16,1.2604179995901443,4.0
22,1000.8171,34.784,0.544,6.328464513977549e+16,1.2608247131985777,4.0
23,999.0041,34.847,0.545,6.322046363369472e+16,1.2685447628883755,4.0
24,997.1526,34.911,0.546,6.314384906099098e+16,1.253887109896716,4.0
25,998.6486,34.859,0.545,6.340830374834995e+16,1.2744241619811338,4.0
26,1001.1015,34.774,0.543,6.332832888736973e+16,1.232663922888391,4.0
27,997.3995,34.903,0.545,6.317812400141107e+16,1.2529766507008497,4.0
28,997.4729,34.9,0.545,6.312906379257446e+16,1.3105623485410915,4.0
29,999.865,34.817,0.544,6.322483200845414e+16,1.2506979997543728,4.0
