setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1007.0115,34.57,0.54,6.336092368365158e+16,1.2558081978384186,4.0
1,1001.5357,34.759,0.543,6.324600182459597e+16,1.2976676558747011,4.0
2,1005.2871,34.629,0.541,6.326952384253133e+16,1.251141946981935,4.0
3,1006.0114,34.604,0.541,6.338612584572518e+16,1.2699661938583149,4.0
4,1004.2628,34.664,0.542,6.320971071120998e+16,1.2416009280611486,4.0
5,1005.8816,34.608,0.541,6.356791744148275e+16,1.231249651488136,4.0
6,1003.3397,34.696,0.542,6.346710879318835e+16,1.281192563035909,4.0
7,1004.7331,34.648,0.541,6.332127228198912e+16,1.2330548123401754,4.0
8,1000.9418,34.779,0.543,6.319122912568934e+16,1.2584782383021187,4.0
9,999.1234,34.843,0.544,6.308571607380787e+16,1.2723423049730413,4.0
10,998.0211,34.881,0.545,6.32580988623913e+16,1.2748565857901293,4.0
11,999.5147,34.829,0.544,6.323524890211123e+16,1.2561838845996296,4.0
12,1001.5474,34.758,0.543,6.323088052735181e+16,1.2693211629110224,4.0
13,1000.3856,34.799,0.544,6.335453913592627e+16,1.2079283831750645,4.0
14,999.5251,34.829,0.544,6.31979497022423e+16,1.2586091511389788,4.0
15,999.7472,34.821,0.544,6.321441511479706e+16,1.2543696708538954,4.0
16,997.4055,34.903,0.545,6.320399822113997e+16,1.2554539862801046,4.0
17,1001.7062,34.753,0.543,6.332228036847206e+16,1.2535219236331827,4.0
18,1002.351,34.73,0.543,6.33659641160663e+16,1.236598708173808,4.0
19,999.6497,34.824,0.544,6.326817972722074e+16,1.2668795506743824,4.0
20,1002.612,34.721,0.543,6.332799285854208e+16,1.234649393488379,4.0
21,1001.2521,34.768,0.543,6.326851575604838e+16,1.235812031170901,4.0
22,1001.9182,34.745,0.543,6.328464513977549e+16,1.2742032470072018,4.0
23,999.0732,34.844,0.545,6.322046363369472e+16,1.248493128839661,4.0
24,996.6804,34.928,0.546,6.314384906099098e+16,1.250518492916051,4.0
25,1000.3967,34.798,0.544,6.340830374834995e+16,1.2849843458217733,4.0
26,1000.5667,34.792,0.544,6.332832888736973e+16,1.2253686627920937,4.0
27,999.3792,34.834,0.544,6.317812400141107e+16,1.2325658359948326,4.0
28,998.7098,34.857,0.545,6.312906379257446e+16,1.2923087249783909,4.0
29,997.8968,34.885,0.545,6.322483200845414e+16,1.2435288341606365,4.0
