setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2115.5726,17.289,0.27,1.5424798481291674e+17,1.2947272570816788,4.0
1,2124.377,17.217,0.269,1.5500606584809062e+17,1.2125466886933867,4.0
2,2121.5073,17.241,0.27,1.5449799026068685e+17,1.2105557985239095,4.0
3,2119.0423,17.261,0.27,1.5373722099489178e+17,1.2081276603511997,4.0
4,2119.5411,17.257,0.27,1.54704984018518e+17,1.2789762903760362,4.0
5,2116.8441,17.279,0.27,1.5412432620434227e+17,1.1819605043718031,4.0
6,2118.9868,17.261,0.27,1.5476950155342643e+17,1.2114012174673014,4.0
7,2119.3707,17.258,0.27,1.546404664836096e+17,1.2478911943368978,4.0
8,2121.4328,17.241,0.27,1.5479638385963827e+17,1.204235427029483,4.0
9,2114.7117,17.296,0.27,1.53901203062784e+17,1.224927325348754,4.0
10,2124.9312,17.213,0.269,1.548931601620009e+17,1.3043166940862483,4.0
11,2121.9302,17.237,0.27,1.547936956290171e+17,1.2709495687818193,4.0
12,2120.803,17.246,0.27,1.54339384654037e+17,1.21043026363933,4.0
13,2116.9678,17.278,0.27,1.539872264426619e+17,1.176493578023844,4.0
14,2121.6405,17.239,0.27,1.5444422564826317e+17,1.245948959897448,4.0
15,2116.8536,17.278,0.27,1.5436895519087e+17,1.1701268403680174,4.0
16,2117.0504,17.277,0.27,1.5411626151247872e+17,1.2472962957995755,4.0
17,2118.0252,17.269,0.27,1.545571313343529e+17,1.2259465572717307,4.0
18,2120.2112,17.251,0.27,1.55113595072938e+17,1.1711312065591346,4.0
19,2115.3022,17.291,0.27,1.5444960210950554e+17,1.2458818725772671,4.0
20,2110.5697,17.33,0.271,1.5395496767520768e+17,1.2296644490915578,4.0
21,2115.5328,17.289,0.27,1.54237231890432e+17,1.1803740438047823,4.0
22,2121.704,17.239,0.27,1.5451680787503514e+17,1.251412213265479,4.0
23,2120.2178,17.251,0.27,1.543904610358395e+17,1.2625754296362817,4.0
24,2120.2076,17.251,0.27,1.544361609563996e+17,1.2198484710880093,4.0
25,2123.8182,17.222,0.269,1.5491735423759155e+17,1.2576739988126955,4.0
26,2120.6239,17.248,0.27,1.5454369018124698e+17,1.2011271973589916,4.0
27,2121.0223,17.245,0.27,1.54807136782123e+17,1.1928731203079224,4.0
28,2120.7108,17.247,0.27,1.5438239634397594e+17,1.2770391135782628,4.0
29,2121.977,17.237,0.27,1.543904610358395e+17,1.2058551561582338,4.0
