setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2112.9871,17.31,0.271,1.5424798481291674e+17,1.1824016016680043,4.0
1,2122.6904,17.231,0.269,1.5500606584809062e+17,1.1664775247340435,4.0
2,2119.8774,17.254,0.27,1.5449799026068685e+17,1.142012248714487,4.0
3,2115.1886,17.292,0.27,1.5373722099489178e+17,1.202788705592389,4.0
4,2116.9106,17.278,0.27,1.54704984018518e+17,1.1678730076426393,4.0
5,2115.3653,17.291,0.27,1.5412432620434227e+17,1.152152794224399,4.0
6,2117.0273,17.277,0.27,1.5476950155342643e+17,1.1724489145762438,4.0
7,2118.591,17.264,0.27,1.546404664836096e+17,1.187617872978424,4.0
8,2120.7646,17.247,0.27,1.5479638385963827e+17,1.1963944839430856,4.0
9,2116.4125,17.282,0.27,1.53901203062784e+17,1.1684598972747375,4.0
10,2123.5897,17.224,0.269,1.548931601620009e+17,1.2191957081114495,4.0
11,2120.5358,17.248,0.27,1.547936956290171e+17,1.1698837438663403,4.0
12,2118.0672,17.269,0.27,1.54339384654037e+17,1.155768177726052,4.0
13,2113.8572,17.303,0.271,1.539872264426619e+17,1.149095356464386,4.0
14,2119.8549,17.254,0.27,1.5444422564826317e+17,1.171019120649858,4.0
15,2116.6432,17.28,0.27,1.5436895519087e+17,1.1475751504197822,4.0
16,2114.1864,17.3,0.271,1.5411626151247872e+17,1.1716248184650928,4.0
17,2115.4164,17.29,0.27,1.545571313343529e+17,1.206972025491141,4.0
18,2119.7158,17.255,0.27,1.55113595072938e+17,1.149475819997854,4.0
19,2114.4244,17.298,0.271,1.5444960210950554e+17,1.1761631169519224,4.0
20,2110.5748,17.33,0.271,1.5395496767520768e+17,1.1951873048202142,4.0
21,2115.4691,17.29,0.27,1.54237231890432e+17,1.1492304814445389,4.0
22,2120.7473,17.247,0.27,1.5451680787503514e+17,1.1876074317451957,4.0
23,2119.5702,17.256,0.27,1.543904610358395e+17,1.1751108819788152,4.0
24,2117.7025,17.272,0.27,1.544361609563996e+17,1.1788710180696074,4.0
25,2120.8889,17.246,0.27,1.5491735423759155e+17,1.1642257858823228,4.0
26,2116.5454,17.281,0.27,1.5454369018124698e+17,1.1569499196289303,4.0
27,2119.7942,17.255,0.27,1.54807136782123e+17,1.1591979840418676,4.0
28,2117.1037,17.276,0.27,1.5438239634397594e+17,1.1850452639839866,4.0
29,2119.8626,17.254,0.27,1.543904610358395e+17,1.203962124311007,4.0
