setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,2110.1764,17.259,0.269,1.5397277720307302e+17,1.201592164140352,3.9859649122807017
1,2114.261,17.226,0.269,1.5460921580263834e+17,1.126883325442462,3.9859649122807017
2,2107.1848,17.284,0.27,1.5374898200385946e+17,1.1209511975167503,3.9859649122807017
3,2113.1177,17.235,0.269,1.5433468025044992e+17,1.1250388034632508,3.9859649122807017
4,2108.0821,17.276,0.269,1.5378392900193485e+17,1.1683604893550066,3.9859649122807017
5,2109.3348,17.266,0.269,1.537862812037284e+17,1.103980990362839,3.9859649122807017
6,2111.2687,17.25,0.269,1.5407022556309094e+17,1.1267239938319569,3.9859649122807017
7,2117.8435,17.197,0.268,1.5451949610565632e+17,1.1592206518414994,3.9859649122807017
8,2109.0598,17.268,0.269,1.5427755534974976e+17,1.1218957086683998,3.9859649122807017
9,2113.36,17.233,0.269,1.5441969554384486e+17,1.148358621227909,3.9859649122807017
10,2110.8598,17.254,0.269,1.539257331672023e+17,1.199911676662069,3.9859649122807017
11,2108.2112,17.275,0.269,1.5373755702371942e+17,1.169579500883398,3.9859649122807017
12,2109.784,17.262,0.269,1.54051071919915e+17,1.147674475757169,3.9859649122807017
13,2118.2334,17.194,0.268,1.5451277552910336e+17,1.1090474195883309,3.9859649122807017
14,2114.1697,17.227,0.269,1.5393312580141056e+17,1.1555071363986378,3.9859649122807017
15,2105.3398,17.299,0.27,1.535134257956782e+17,1.106725039616437,3.9859649122807017
16,2120.147,17.178,0.268,1.54410958794326e+17,1.1587723552341191,3.9859649122807017
17,2119.203,17.186,0.268,1.5440558233308365e+17,1.1441789487717857,3.9859649122807017
18,2111.7065,17.247,0.269,1.5410718873413222e+17,1.1088772508460032,3.9859649122807017
19,2113.5009,17.232,0.269,1.542876362145792e+17,1.1651583960358525,3.9859649122807017
20,2112.228,17.242,0.269,1.53607177838592e+17,1.1313277634096817,3.9859649122807017
21,2112.5993,17.239,0.269,1.5383702155670323e+17,1.110285955415645,3.9859649122807017
22,2110.9235,17.253,0.269,1.5369588944909107e+17,1.1529045936087488,3.9859649122807017
23,2116.211,17.21,0.268,1.5430880603072102e+17,1.153961482182355,3.9859649122807017
24,2106.9085,17.286,0.27,1.536743836041216e+17,1.1408859088387289,3.9859649122807017
25,2113.6236,17.231,0.269,1.5420194886352896e+17,1.1571399342845863,3.9859649122807017
26,2114.3607,17.225,0.269,1.5424193629401907e+17,1.127875547173997,3.9859649122807017
27,2108.0698,17.276,0.269,1.5393783020499763e+17,1.120768534465575,3.9859649122807017
28,2116.1887,17.21,0.268,1.544277602357084e+17,1.1711091516723096,3.9859649122807017
29,2108.8722,17.27,0.269,1.538746567853998e+17,1.1314418416627696,3.9859649122807017
