setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4666.6115,15.021,0.234,2.983613401839698e+17,1.3354916118440174,3.987220447284345
1,4672.2983,15.002,0.234,2.991543682172191e+17,1.3021150058879083,3.987220447284345
2,4674.5876,14.995,0.234,2.9924442394302874e+17,1.3066938002030928,3.987220447284345
3,4679.2524,14.98,0.233,2.98825059966124e+17,1.3061656331841325,3.987220447284345
4,4682.2964,14.97,0.233,2.994715794305188e+17,1.3053440650304158,3.987220447284345
5,4665.8137,15.023,0.234,2.987914570833592e+17,1.2994353631477216,3.987220447284345
6,4671.8188,15.004,0.234,2.992296386746122e+17,1.2959217737009237,3.987220447284345
7,4687.507,14.954,0.233,2.990333978392658e+17,1.2938203043116754,3.987220447284345
8,4667.209,15.019,0.234,2.990105478789857e+17,1.3170290325150822,3.987220447284345
9,4685.797,14.959,0.233,2.989661920737362e+17,1.2942879785111536,3.987220447284345
10,4671.3118,15.006,0.234,2.988129629283287e+17,1.3199977748123282,3.987220447284345
11,4671.3909,15.005,0.234,2.983425225696215e+17,1.3112418057717683,3.987220447284345
12,4656.5989,15.053,0.235,2.9804681720129126e+17,1.3033583164215088,3.987220447284345
13,4671.5275,15.005,0.234,2.9905893603016704e+17,1.2905183737967914,3.987220447284345
14,4674.773,14.995,0.234,2.988008658905334e+17,1.2974946036006942,3.987220447284345
15,4678.1618,14.984,0.233,2.988102746977075e+17,1.317942847917368,3.987220447284345
16,4680.2425,14.977,0.233,2.995374410807378e+17,1.3193947011297875,3.987220447284345
17,4685.3103,14.961,0.233,2.9915840056315085e+17,1.3270089844644288,3.987220447284345
18,4675.8538,14.991,0.234,2.9870408958817075e+17,1.3089900558248109,3.987220447284345
19,4665.3081,15.025,0.234,2.98831780542677e+17,1.3006988916641626,3.987220447284345
20,4664.6314,15.027,0.234,2.988640393101312e+17,1.3120612574147654,3.987220447284345
21,4675.4154,14.992,0.234,2.989285568450396e+17,1.2926135447435763,3.987220447284345
22,4671.1626,15.006,0.234,2.9951324700514714e+17,1.3044723136957748,3.987220447284345
23,4666.9219,15.02,0.234,2.987820482761851e+17,1.3143725386469356,3.987220447284345
24,4677.0368,14.987,0.233,2.989285568450396e+17,1.3028431654849768,3.987220447284345
25,4674.4868,14.995,0.234,2.993008767860736e+17,1.320516287625491,3.987220447284345
26,4671.0249,15.007,0.234,2.987484453934203e+17,1.310666901724679,3.987220447284345
27,4675.8272,14.991,0.234,2.988653834254418e+17,1.3099178281022517,3.987220447284345
28,4677.9118,14.984,0.233,2.984218253729464e+17,1.3219644805013915,3.987220447284345
29,4676.054,14.99,0.234,2.986919925503754e+17,1.304877852782225,3.987220447284345
