setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4670.7936,15.007,0.234,2.983613401839698e+17,1.3638498914110793,3.987220447284345
1,4671.1277,15.006,0.234,2.991543682172191e+17,1.331725767680577,3.987220447284345
2,4671.5069,15.005,0.234,2.9924442394302874e+17,1.3688083598901937,3.987220447284345
3,4666.8861,15.02,0.234,2.98825059966124e+17,1.3848558205824633,3.987220447284345
4,4677.7127,14.985,0.233,2.994715794305188e+17,1.3548634266242003,3.987220447284345
5,4665.0015,15.026,0.234,2.987914570833592e+17,1.3430437535156696,3.987220447284345
6,4675.825,14.991,0.234,2.992296386746122e+17,1.3242730989560976,3.987220447284345
7,4682.8852,14.969,0.233,2.990333978392658e+17,1.3318372462695336,3.987220447284345
8,4672.5344,15.002,0.234,2.990105478789857e+17,1.3439660779722444,3.987220447284345
9,4675.3846,14.993,0.234,2.989661920737362e+17,1.3334822907989279,3.987220447284345
10,4672.7393,15.001,0.234,2.988129629283287e+17,1.4276273896842648,3.987220447284345
12,4654.9899,15.058,0.235,2.9804681720129126e+17,1.3550690381954877,3.987220447284345
13,4675.0653,14.994,0.234,2.9905893603016704e+17,1.3489056445740082,3.987220447284345
14,4680.9478,14.975,0.233,2.988008658905334e+17,1.3201463571834913,3.987220447284345
15,4681.136,14.974,0.233,2.988102746977075e+17,1.3404965750027051,3.987220447284345
16,4684.8837,14.962,0.233,2.995374410807378e+17,1.3391989508827964,3.987220447284345
17,4686.7489,14.956,0.233,2.9915840056315085e+17,1.3407755959164964,3.987220447284345
18,4681.7482,14.972,0.233,2.9870408958817075e+17,1.3264086901486576,3.987220447284345
19,4672.7895,15.001,0.234,2.98831780542677e+17,1.3690061158749647,3.987220447284345
20,4673.3375,14.999,0.234,2.988640393101312e+17,1.3485655784606934,3.987220447284345
21,4683.403,14.967,0.233,2.989285568450396e+17,1.33004898640699,3.987220447284345
22,4680.8767,14.975,0.233,2.9951324700514714e+17,1.3305304722908216,3.987220447284345
23,4677.5572,14.986,0.233,2.987820482761851e+17,1.347271285214267,3.987220447284345
24,4688.5032,14.951,0.233,2.989285568450396e+17,1.3598709167578282,3.987220447284345
25,4680.4676,14.976,0.233,2.993008767860736e+17,1.3381293282840714,3.987220447284345
26,4671.6987,15.004,0.234,2.987484453934203e+17,1.3389988113672306,3.987220447284345
27,4678.9713,14.981,0.233,2.988653834254418e+17,1.3376565660749162,3.987220447284345
28,4688.9231,14.949,0.233,2.984218253729464e+17,1.3955925358084096,3.987220447284345
29,4677.1847,14.987,0.233,2.986919925503754e+17,1.4337449335789942,3.987220447284345
11,4677.3726,14.986,0.233,2.983425225696215e+17,1.3673210100376563,3.987220447284345
