setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4632.1919,15.125,0.236,2.958041608055685e+17,1.417664532259707,3.989041095890411
1,4621.495,15.16,0.236,2.9584650043785216e+17,1.368412897263691,3.989041095890411
2,4618.0909,15.171,0.236,2.952903727280947e+17,1.3748864367768006,3.989041095890411
3,4621.1483,15.161,0.236,2.948854579907789e+17,1.368947195046114,3.989041095890411
4,4616.7349,15.175,0.237,2.951361354962043e+17,1.376538329945379,3.989041095890411
5,4612.4563,15.189,0.237,2.947708721605509e+17,1.3493254813519153,3.989041095890411
6,4622.7712,15.155,0.236,2.9552223261917184e+17,1.3580607485858511,3.989041095890411
7,4630.3467,15.131,0.236,2.955780134045614e+17,1.3674853616581732,3.989041095890411
8,4621.2327,15.16,0.236,2.951788111573156e+17,1.3758056792584095,3.989041095890411
9,4617.435,15.173,0.236,2.954429298158469e+17,1.35654494089958,3.989041095890411
10,4623.6284,15.153,0.236,2.954042865006674e+17,1.4086900866511978,3.989041095890411
11,4621.7957,15.159,0.236,2.961828652943278e+17,1.381931735482408,3.989041095890411
12,4608.5404,15.202,0.237,2.946062180350034e+17,1.3727104454250125,3.989041095890411
13,4612.6652,15.189,0.237,2.947197957787484e+17,1.356540560285687,3.989041095890411
14,4631.8298,15.126,0.236,2.9578702333535846e+17,1.3566043787386828,3.989041095890411
15,4617.3956,15.173,0.236,2.953209513514107e+17,1.374738490625179,3.989041095890411
16,4625.8274,15.145,0.236,2.953407770522419e+17,1.3879437883258303,3.989041095890411
17,4620.0807,15.164,0.236,2.9483001323421696e+17,1.3607932377210903,3.989041095890411
18,4612.1412,15.19,0.237,2.9534178513872486e+17,1.378676278250558,3.989041095890411
19,4626.1693,15.144,0.236,2.959930090067067e+17,1.365655312171349,3.989041095890411
20,4616.9906,15.174,0.237,2.953784122809385e+17,1.3907000555660263,3.989041095890411
21,4618.2555,15.17,0.236,2.9565462797726515e+17,1.3574921394879127,3.989041095890411
22,4624.4486,15.15,0.236,2.9571108082031e+17,1.3620535550100026,3.989041095890411
23,4625.4916,15.146,0.236,2.955749891451126e+17,1.3946978783869481,3.989041095890411
24,4628.4867,15.137,0.236,2.955407142046925e+17,1.3659530768901,3.989041095890411
25,4630.2182,15.131,0.236,2.9525912204712346e+17,1.3930947955274757,3.989041095890411
26,4621.359,15.16,0.236,2.951213502277878e+17,1.3865024999821143,3.989041095890411
27,4635.8087,15.113,0.236,2.954247842591539e+17,1.3799233523917285,3.989041095890411
28,4633.3855,15.121,0.236,2.948024588703498e+17,1.3982789333050067,3.989041095890411
29,4615.7021,15.179,0.237,2.943121928108114e+17,1.384365935028691,3.989041095890411
