setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,4632.5639,15.123,0.236,2.958041608055685e+17,1.362352742380275,3.989041095890411
1,4615.8627,15.178,0.237,2.9584650043785216e+17,1.326317698090941,3.989041095890411
2,4610.9741,15.194,0.237,2.952903727280947e+17,1.349039681228526,3.989041095890411
3,4606.534,15.209,0.237,2.948854579907789e+17,1.3136900816208277,3.989041095890411
4,4607.3684,15.206,0.237,2.951361354962043e+17,1.3133837687663543,3.989041095890411
5,4594.8424,15.248,0.238,2.947708721605509e+17,1.355488923006442,3.989041095890411
6,4604.4754,15.216,0.237,2.9552223261917184e+17,1.3055114466628748,3.989041095890411
7,4615.1891,15.18,0.237,2.955780134045614e+17,1.3600426724542192,3.989041095890411
8,4601.7607,15.225,0.237,2.951788111573156e+17,1.3589108086330988,3.989041095890411
9,4591.7203,15.258,0.238,2.954429298158469e+17,1.2933848528634935,3.989041095890411
10,4600.9662,15.227,0.237,2.954042865006674e+17,1.3757609307984293,3.989041095890411
11,4602.3615,15.223,0.237,2.961828652943278e+17,1.358096758524577,3.989041095890411
12,4582.6893,15.288,0.238,2.946062180350034e+17,1.3922757831685273,3.989041095890411
13,4588.3849,15.269,0.238,2.947197957787484e+17,1.43299327534197,3.989041095890411
14,4607.0415,15.207,0.237,2.9578702333535846e+17,1.3056210576396285,3.989041095890411
15,4600.089,15.23,0.237,2.953209513514107e+17,1.3153161679432068,3.989041095890411
16,4598.4606,15.236,0.237,2.953407770522419e+17,1.313111730984279,3.989041095890411
17,4597.2414,15.24,0.238,2.9483001323421696e+17,1.3697469854529525,3.989041095890411
18,4592.4592,15.255,0.238,2.9534178513872486e+17,1.3349936340318058,3.989041095890411
19,4604.2789,15.216,0.237,2.959930090067067e+17,1.3447578014471593,3.989041095890411
20,4592.9737,15.254,0.238,2.953784122809385e+17,1.3774097633885813,3.989041095890411
21,4601.6204,15.225,0.237,2.9565462797726515e+17,1.308687300035805,3.989041095890411
22,4598.0513,15.237,0.237,2.9571108082031e+17,1.3914723291501894,3.989041095890411
23,4602.222,15.223,0.237,2.955749891451126e+17,1.3252325809045589,3.989041095890411
24,4599.5961,15.232,0.237,2.955407142046925e+17,1.2947103697738367,3.989041095890411
25,4600.6664,15.228,0.237,2.9525912204712346e+17,1.3132510300957676,3.989041095890411
26,4592.7115,15.255,0.238,2.951213502277878e+17,1.3082889864296268,3.989041095890411
27,4596.6769,15.241,0.238,2.954247842591539e+17,1.3702184472765242,3.989041095890411
28,4594.2506,15.249,0.238,2.948024588703498e+17,1.3419934105087112,3.989041095890411
29,4589.5189,15.265,0.238,2.943121928108114e+17,1.3506808359544356,3.989041095890411
