setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,7051.0107,24.121,0.377,4.897929309491036e+17,1.215416164642357,3.99699021820918
1,7047.0655,24.134,0.377,4.897038833097769e+17,1.1936440625822688,3.99699021820918
2,7032.6088,24.184,0.378,4.897492472015094e+17,1.2107653987694935,3.99699021820918
3,7057.5028,24.099,0.376,4.900533532905308e+17,1.1974991832871036,3.99699021820918
4,7030.0792,24.193,0.378,4.897905787473101e+17,1.2104551483349628,3.99699021820918
5,7053.2412,24.113,0.377,4.898251897165578e+17,1.1945261969623795,3.99699021820918
6,7052.3671,24.116,0.377,4.8987357786773914e+17,1.2141246968005077,3.99699021820918
7,7037.7358,24.166,0.377,4.899028123757445e+17,1.1887226025742221,3.99699021820918
8,7045.6227,24.139,0.377,4.898466955615273e+17,1.2125090116477875,3.99699021820918
9,7010.1518,24.261,0.379,4.8977915376717005e+17,1.1913367387760117,3.99699021820918
10,7008.4552,24.267,0.379,4.896830495224627e+17,1.2180443984198284,3.99699021820918
11,7046.6622,24.136,0.377,4.898305661778002e+17,1.1945782425891922,3.99699021820918
12,7041.1056,24.155,0.377,4.894058257396531e+17,1.2108765905161938,3.99699021820918
13,7054.187,24.11,0.377,4.8969313038729216e+17,1.1977767484733857,3.99699021820918
14,7023.3173,24.216,0.378,4.8974689499971584e+17,1.2093433784433159,3.99699021820918
15,7030.8112,24.19,0.378,4.897361420772311e+17,1.1908371610095703,3.99699021820918
16,7003.2503,24.285,0.379,4.89504282186154e+17,1.2123975006930798,3.99699021820918
17,7046.7942,24.135,0.377,4.8988130653077504e+17,1.199476305978844,3.99699021820918
18,7077.773,24.03,0.375,4.8968472966660096e+17,1.2022029279944408,3.99699021820918
19,7066.3771,24.068,0.376,4.8970925977101926e+17,1.1934850707829716,3.99699021820918
20,7033.0548,24.182,0.378,4.896262606505902e+17,1.2154563888009773,3.99699021820918
21,7063.4526,24.078,0.376,4.8976369644109824e+17,1.1903157729700387,3.99699021820918
22,7060.1899,24.089,0.376,4.897415185384735e+17,1.1869558088750725,3.99699021820918
23,7081.9987,24.015,0.375,4.897613442393047e+17,1.202463325247707,3.99699021820918
24,7082.756,24.013,0.375,4.899189417594716e+17,1.1995878689978496,3.99699021820918
25,7067.4968,24.065,0.376,4.899680019683082e+17,1.2109073831374386,3.99699021820918
26,7046.275,24.137,0.377,4.898406470426296e+17,1.1879657776240844,3.99699021820918
27,14463.1488,11.759,0.184,4.89720012693504e+17,1.2029705338449364,3.99699021820918
28,7062.0566,24.083,0.376,4.8962088418934784e+17,1.200485233980489,3.99699021820918
29,7064.5913,24.074,0.376,4.899918600150712e+17,1.1992653479059059,3.99699021820918
