setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,6902.1893,24.641,0.385,4.8120974660449075e+17,1.415902953190976,3.99699021820918
1,6883.4071,24.708,0.386,4.80881110411051e+17,1.39878784568913,3.99699021820918
2,6894.0295,24.67,0.385,4.810477807095644e+17,1.234231914382383,3.99699021820918
3,6891.2459,24.68,0.385,4.810131697403167e+17,1.3131522845072918,3.99699021820918
4,6868.8048,24.761,0.387,4.8102694692225024e+17,1.38864323101848,3.99699021820918
5,6891.8199,24.678,0.385,4.8084649944180326e+17,1.2357201811419911,3.99699021820918
6,6902.0273,24.641,0.385,4.810454285077709e+17,1.1961781018110642,3.99699021820918
7,6874.6954,24.739,0.386,4.8127964060064154e+17,1.3077440875840474,3.99699021820918
8,6897.4522,24.658,0.385,4.8109146445715866e+17,1.2527512222169392,3.99699021820918
9,6862.0301,24.785,0.387,4.809993925583831e+17,1.4248067431421165,3.99699021820918
10,6859.1202,24.796,0.387,4.8089253539119104e+17,1.4027784272848842,3.99699021820918
11,6909.6231,24.614,0.384,4.809862874341048e+17,1.1906374429004738,3.99699021820918
12,6905.2809,24.63,0.385,4.806744526820475e+17,1.1720907264445202,3.99699021820918
13,6907.5948,24.622,0.385,4.808895111317422e+17,1.2933221857949913,3.99699021820918
14,6875.5003,24.737,0.386,4.810208984033526e+17,1.4002612161349102,3.99699021820918
15,6914.7305,24.596,0.384,4.810692865545339e+17,1.189490617398756,3.99699021820918
16,7008.82,24.266,0.379,4.89504282186154e+17,1.1923979531569653,3.99699021820918
17,7020.4475,24.226,0.378,4.8988130653077504e+17,1.4367450209985297,3.99699021820918
18,7032.6784,24.184,0.378,4.8968472966660096e+17,1.2532584275825913,3.99699021820918
19,7023.3573,24.216,0.378,4.8970925977101926e+17,1.3348753649786294,3.99699021820918
20,7010.3535,24.261,0.379,4.896262606505902e+17,1.402303136256804,3.99699021820918
21,7010.5991,24.26,0.379,4.8976369644109824e+17,1.1982099991965007,3.99699021820918
22,7016.27,24.24,0.379,4.897415185384735e+17,1.1853533827037697,3.99699021820918
23,7030.4325,24.191,0.378,4.897613442393047e+17,1.3458495581724557,3.99699021820918
24,7042.0533,24.151,0.377,4.899189417594716e+17,1.1553398871637253,3.99699021820918
25,7089.781,23.989,0.375,4.899680019683082e+17,1.4189633339284413,3.99699021820918
26,6999.2416,24.299,0.379,4.898406470426296e+17,1.3838733800922531,3.99699021820918
27,7002.5459,24.288,0.379,4.89720012693504e+17,1.2169451471193726,3.99699021820918
28,6998.3353,24.302,0.38,4.8962088418934784e+17,1.200622506708984,3.99699021820918
29,7005.5917,24.277,0.379,4.899918600150712e+17,1.3920986555426953,3.99699021820918
