setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,7020.654,24.165,0.377,4.8878652461029786e+17,1.2056857959741552,3.9954734062617883
1,7022.4335,24.159,0.377,4.8888229282617754e+17,1.1828942756278278,3.9954734062617883
2,7015.779,24.181,0.377,4.887209989889065e+17,1.1993265721012818,3.9954734062617883
3,7022.7664,24.157,0.377,4.8903720211572326e+17,1.1826015537959211,3.9954734062617883
4,7023.2104,24.156,0.377,4.888735560766587e+17,1.1870413031822966,3.9954734062617883
5,7043.7834,24.085,0.376,4.8889842220990464e+17,1.1834168952757498,3.9954734062617883
6,7037.9208,24.105,0.376,4.8871226223938765e+17,1.1771872879155092,3.9954734062617883
7,7041.3983,24.094,0.376,4.889199280548741e+17,1.175146780345375,3.9954734062617883
8,7038.6838,24.103,0.376,4.8858759554433024e+17,1.1943142752632994,3.9954734062617883
9,7025.3602,24.149,0.377,4.889101832188723e+17,1.1707430789838025,3.9954734062617883
10,7009.9534,24.202,0.378,4.887112541529047e+17,1.20061704867556,3.9954734062617883
11,7039.2819,24.101,0.376,4.888940538351452e+17,1.1810640278539628,3.9954734062617883
12,7019.5758,24.168,0.377,4.890274572797215e+17,1.2002110751373891,3.9954734062617883
13,7001.4467,24.231,0.378,4.8889842220990464e+17,1.1741407551434104,3.9954734062617883
14,7004.1308,24.222,0.378,4.888090385417503e+17,1.1987886756568518,3.9954734062617883
15,7016.9647,24.177,0.377,4.886306072342692e+17,1.1755968984160179,3.9954734062617883
16,7038.0711,24.105,0.376,4.889253045161165e+17,1.2142020737656654,3.9954734062617883
17,7043.3804,24.087,0.376,4.8875224966987776e+17,1.1869905571202857,3.9954734062617883
18,7001.4192,24.231,0.378,4.886984850574541e+17,1.179272972204894,3.9954734062617883
19,7024.0672,24.153,0.377,4.887586342176031e+17,1.17351040811337,3.9954734062617883
20,7040.5819,24.096,0.376,4.889253045161165e+17,1.1923461968805134,3.9954734062617883
21,7002.1192,24.229,0.378,4.885865874578473e+17,1.168531444857848,3.9954734062617883
22,7028.662,24.137,0.377,4.891941275782349e+17,1.1697331054693263,3.9954734062617883
23,7017.6763,24.175,0.377,4.889575632835707e+17,1.181392331858056,3.9954734062617883
24,7012.8767,24.191,0.378,4.890348499139297e+17,1.1739684509006512,3.9954734062617883
25,7015.9026,24.181,0.377,4.8868000347193344e+17,1.185687055400491,3.9954734062617883
26,6998.3645,24.242,0.378,4.886188462253015e+17,1.1708964188653537,3.9954734062617883
27,7021.401,24.162,0.377,4.8866185791524045e+17,1.192994208854491,3.9954734062617883
28,7009.6679,24.203,0.378,4.88819791464235e+17,1.1925477363912,3.9954734062617883
29,6999.0384,24.239,0.378,4.8873813645911654e+17,1.1855493812762719,3.9954734062617883
