setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,6909.8518,24.552,0.383,4.7967443089096704e+17,1.159969740403743,3.9954734062617883
1,6920.5094,24.514,0.383,4.7983471664175514e+17,1.161501242314941,3.9954734062617883
2,6896.7932,24.599,0.384,4.794089681171251e+17,1.3093289223322335,3.9954734062617883
3,6889.5499,24.625,0.384,4.797960733265756e+17,1.4196198656479757,3.9954734062617883
4,6924.5175,24.5,0.382,4.798303482669957e+17,1.1608768757376426,3.9954734062617883
5,6926.0804,24.495,0.382,4.797917049518162e+17,1.40802124655859,3.9954734062617883
6,6935.3667,24.462,0.382,4.797658307320873e+17,1.130922436173949,3.9954734062617883
7,6922.6564,24.507,0.383,4.7970467348545536e+17,1.1379617216723923,3.9954734062617883
8,6919.4513,24.518,0.383,4.7953027452390605e+17,1.3862829881852488,3.9954734062617883
9,6925.7848,24.496,0.382,4.79818587258028e+17,1.1541409665364153,3.9954734062617883
10,6892.7764,24.613,0.384,4.7966266988199936e+17,1.1537673008766058,3.9954734062617883
11,6928.2963,24.487,0.382,4.797013131971789e+17,1.2207702654005899,3.9954734062617883
12,7044.0167,24.085,0.376,4.890274572797215e+17,1.4249170744887292,3.9954734062617883
13,7029.6412,24.134,0.377,4.8889842220990464e+17,1.1662860471316334,3.9954734062617883
14,7024.7216,24.151,0.377,4.888090385417503e+17,1.433232708639969,3.9954734062617883
15,7048.6758,24.069,0.376,4.886306072342692e+17,1.2504725045668035,3.9954734062617883
16,7062.2392,24.022,0.375,4.889253045161165e+17,1.424718785862188,3.9954734062617883
17,7063.595,24.018,0.375,4.8875224966987776e+17,1.2971374268258087,3.9954734062617883
18,7025.8305,24.147,0.377,4.886984850574541e+17,1.1951550043601644,3.9954734062617883
19,7042.8116,24.089,0.376,4.887586342176031e+17,1.4331109790283387,3.9954734062617883
20,7070.2742,23.995,0.375,4.889253045161165e+17,1.2523783544399227,3.9954734062617883
21,7125.5947,23.809,0.372,4.885865874578473e+17,1.409831202642435,3.9954734062617883
22,7070.8344,23.993,0.374,4.891941275782349e+17,1.176895917002168,3.9954734062617883
23,7066.9296,24.006,0.375,4.889575632835707e+17,1.3629775857637296,3.9954734062617883
24,7054.5443,24.049,0.375,4.890348499139297e+17,1.1369061696925553,3.9954734062617883
25,7060.4627,24.028,0.375,4.8868000347193344e+17,1.3803250235013012,3.9954734062617883
26,6996.2213,24.249,0.378,4.886188462253015e+17,1.4020275849950277,3.9954734062617883
27,7017.6112,24.175,0.377,4.8866185791524045e+17,1.1742959562745339,3.9954734062617883
28,6999.2168,24.239,0.378,4.88819791464235e+17,1.3901471547849948,3.9954734062617883
29,6983.0442,24.295,0.379,4.8873813645911654e+17,1.3465791411270187,3.9954734062617883
