setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13766.081,7.373,0.461,7.601129026887352e+17,0.724642282626668,4.0
1,13763.4497,7.375,0.461,7.596559045526815e+17,0.7092406810607765,4.0
2,13754.1549,7.38,0.461,7.606008154045809e+17,0.7161018998746163,4.0
3,13777.0107,7.368,0.46,7.599717709114245e+17,0.709988737617435,4.0
4,13781.9872,7.365,0.46,7.619261099991368e+17,0.7220287942345175,4.0
5,13775.0411,7.369,0.461,7.615040587793695e+17,0.7163032687928006,4.0
6,13764.8984,7.374,0.461,7.603373694202675e+17,0.7271934300473178,4.0
7,13781.2939,7.365,0.46,7.621949324321096e+17,0.7216061219140831,4.0
8,13767.4936,7.373,0.461,7.610121137270292e+17,0.7145480357232641,4.0
9,13762.7205,7.375,0.461,7.614368531711263e+17,0.7148955214068689,4.0
10,13752.7397,7.381,0.461,7.613387329830912e+17,0.7128176178036241,4.0
11,13770.3272,7.371,0.461,7.606613004519997e+17,0.7062851102625738,4.0
12,13788.4174,7.362,0.46,7.608481320429158e+17,0.7113839971913967,4.0
13,13797.0607,7.357,0.46,7.615645438267884e+17,0.7119350570147155,4.0
14,13772.4521,7.37,0.461,7.610994810177454e+17,0.7143190696290582,4.0
15,13758.2507,7.378,0.461,7.594502553914573e+17,0.7079124961043667,4.0
16,13774.2769,7.369,0.461,7.61875033736872e+17,0.7146797260600711,4.0
17,13767.0549,7.373,0.461,7.606801180223078e+17,0.7133738552637088,4.0
18,13778.0298,7.367,0.46,7.607164090507592e+17,0.713332399143397,4.0
19,13785.0026,7.363,0.46,7.603212400742892e+17,0.7163999693992008,4.0
20,13790.971,7.36,0.46,7.605981271802511e+17,0.7206555072025573,4.0
21,13790.5215,7.36,0.46,7.616330935471964e+17,0.7149471145259477,4.0
22,13778.7532,7.367,0.46,7.603857574582026e+17,0.7080545238257958,4.0
23,13785.9591,7.363,0.46,7.616707286878126e+17,0.7298626183411212,4.0
24,13766.1041,7.373,0.461,7.612674950383534e+17,0.7181327603804358,4.0
25,13759.6042,7.377,0.461,7.601693553996595e+17,0.7300916890629002,4.0
26,13775.1741,7.369,0.461,7.615013705550397e+17,0.7239370216036505,4.0
27,13774.0519,7.369,0.461,7.612110423274291e+17,0.7099281589290383,4.0
28,13790.6254,7.36,0.46,7.62180147198296e+17,0.7191703250399153,4.0
29,13857.5962,7.325,0.458,7.603642516635648e+17,0.7382850861940228,4.0
