setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,13805.2297,7.2,0.45,7.630518039372104e+17,0.6992867504943976,3.9993561886367295
1,13791.1003,7.208,0.45,7.616539272857518e+17,0.6950534543757736,3.9993561886367295
2,13794.9898,7.206,0.45,7.626821730918728e+17,0.6892229415337193,3.9993561886367295
3,13796.3959,7.205,0.45,7.62699646550016e+17,0.6881369040692459,3.9993561886367295
4,13802.203,7.202,0.45,7.628387621590794e+17,0.6992671570314258,3.9993561886367295
5,13808.8421,7.198,0.45,7.63746709926445e+17,0.687891619249996,3.9993561886367295
6,13774.1948,7.216,0.451,7.628515312246456e+17,0.6928994403834199,3.9993561886367295
7,13810.0759,7.198,0.45,7.639812574992138e+17,0.6896987522485098,3.9993561886367295
8,13790.4264,7.208,0.45,7.62842794495574e+17,0.6922041936912463,3.9993561886367295
9,13787.1495,7.21,0.451,7.624422490704445e+17,0.6909291043407443,3.9993561886367295
10,13811.0637,7.197,0.45,7.635726474010952e+17,0.6924692965751299,3.9993561886367295
11,13791.5111,7.207,0.45,7.616955947628626e+17,0.6841864463059425,3.9993561886367295
12,13844.0305,7.18,0.449,7.643616412418703e+17,0.6867712851270736,3.9993561886367295
13,13834.2915,7.185,0.449,7.63717139458818e+17,0.6829540161493894,3.9993561886367295
14,13833.0487,7.186,0.449,7.63530307867902e+17,0.6845578993049961,3.9993561886367295
15,13806.726,7.199,0.45,7.631082566481347e+17,0.6900849858945366,3.9993561886367295
16,13813.8301,7.196,0.45,7.61736590183891e+17,0.6977839150585363,3.9993561886367295
17,13827.3694,7.189,0.449,7.644826113367081e+17,0.6920548580726039,3.9993561886367295
18,13821.8294,7.192,0.449,7.641801860996137e+17,0.6858206320330933,3.9993561886367295
19,13859.1468,7.172,0.448,7.644443041400095e+17,0.6929551101237517,3.9993561886367295
20,13827.4667,7.189,0.449,7.639026269375693e+17,0.6909213972644351,3.9993561886367295
21,13832.0947,7.186,0.449,7.638374374975734e+17,0.6915134503928907,3.9993561886367295
22,13821.2752,7.192,0.449,7.622144220585001e+17,0.6863688598965647,3.9993561886367295
23,13814.5219,7.195,0.45,7.62788357952897e+17,0.6994156964886058,3.9993561886367295
24,13802.2765,7.202,0.45,7.626714201945539e+17,0.7003989885180364,3.9993561886367295
25,13808.4812,7.198,0.45,7.628374180469146e+17,0.6975678231588733,3.9993561886367295
26,13826.4317,7.189,0.449,7.636055781491343e+17,0.6924573294362635,3.9993561886367295
27,13808.6863,7.198,0.45,7.63811899366441e+17,0.6892985280528808,3.9993561886367295
28,13817.9121,7.194,0.45,7.634785595495547e+17,0.6956832766609659,3.9993561886367295
29,13744.0339,7.232,0.452,7.638676800212828e+17,0.698148666699318,3.9993561886367295
