setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1416.2017,24.81,0.387,9.747524232413184e+16,1.2559913301119838,3.9927140255009106
1,1411.2671,24.897,0.388,9.719028987828634e+16,1.2099977418454024,3.9927140255009106
2,1417.3916,24.789,0.387,9.741072478922342e+16,1.2337752545837068,3.9927140255009106
3,1403.4941,25.035,0.39,9.734083079307264e+16,1.222033833935313,3.9927140255009106
4,1413.8769,24.851,0.388,9.718491341704397e+16,1.2619308755345588,3.9927140255009106
5,1411.3079,24.896,0.388,9.727093679692186e+16,1.1828612680852848,3.9927140255009106
6,1501.4998,23.401,0.365,9.713652526586266e+16,1.2369063457433325,3.9927140255009106
7,1502.0156,23.393,0.365,9.743760709543526e+16,1.2068859773830776,3.9927140255009106
8,1410.2334,24.915,0.389,9.712577234337792e+16,1.203677274014828,3.9927140255009106
9,1410.8535,24.904,0.388,9.72816897194066e+16,1.1851999455124793,3.9927140255009106
10,1409.7513,24.924,0.389,9.695910204486451e+16,1.2865720404325611,3.9927140255009106
11,1401.2883,25.074,0.391,9.72978191031337e+16,1.2145410053921442,3.9927140255009106
12,1413.0291,24.866,0.388,9.72117957232558e+16,1.2147909777007835,3.9927140255009106
13,1412.0833,24.882,0.388,9.721717218449818e+16,1.2033467797467308,3.9927140255009106
14,1402.8343,25.046,0.391,9.731932494810317e+16,1.2219945105322956,3.9927140255009106
15,1411.8468,24.887,0.388,9.707200773095424e+16,1.200019533616783,3.9927140255009106
16,1410.0005,24.919,0.389,9.707200773095424e+16,1.2663465198809214,3.9927140255009106
17,1413.4645,24.858,0.388,9.720641926201344e+16,1.2087115197286118,3.9927140255009106
18,1411.3533,24.895,0.388,9.71634075720745e+16,1.2123907987218703,3.9927140255009106
19,1407.4537,24.964,0.389,9.698060788983398e+16,1.2085721501468742,3.9927140255009106
20,1411.2719,24.897,0.388,9.717416049455923e+16,1.2017049563192104,3.9927140255009106
21,1411.2385,24.897,0.388,9.724943095195238e+16,1.2176621055951085,3.9927140255009106
22,1400.3351,25.091,0.391,9.71634075720745e+16,1.2125937581932458,3.9927140255009106
23,1411.8138,24.887,0.388,9.710964295965082e+16,1.2072941526009218,3.9927140255009106
24,1412.0209,24.883,0.388,9.72816897194066e+16,1.2067256774345454,3.9927140255009106
25,1413.804,24.852,0.388,9.734083079307264e+16,1.2248645063734402,3.9927140255009106
26,1412.6602,24.872,0.388,9.720104280077107e+16,1.2009423370778995,3.9927140255009106
27,1413.3545,24.86,0.388,9.71795369558016e+16,1.207649331893364,3.9927140255009106
28,1403.9179,25.027,0.39,9.73139484868608e+16,1.2491095884002907,3.9927140255009106
29,1413.6165,24.855,0.388,9.737846602176922e+16,1.1873337300154414,3.9927140255009106
