setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1383.9462,25.388,0.396,9.526014029227622e+16,1.2629768387244567,3.9927140255009106
1,1414.1409,24.846,0.388,9.507196414879334e+16,1.2030021221968379,3.9927140255009106
2,1424.6423,24.663,0.385,9.51633639899136e+16,1.2735919517322178,3.9927140255009106
3,1404.8318,25.011,0.39,9.515798752867123e+16,1.240449847966215,3.9927140255009106
4,1392.9223,25.225,0.393,9.505583476506624e+16,1.2304922124765214,3.9927140255009106
5,1415.6783,24.819,0.387,9.727093679692186e+16,1.2762821347173983,3.9927140255009106
6,1406.6292,24.979,0.39,9.713652526586266e+16,1.1880200814156636,3.9927140255009106
7,1410.7646,24.906,0.388,9.743760709543526e+16,1.2375320796548885,3.9927140255009106
8,1406.7588,24.977,0.39,9.712577234337792e+16,1.2449604899343782,3.9927140255009106
9,1408.1212,24.952,0.389,9.72816897194066e+16,1.219354414591824,3.9927140255009106
10,1406.7001,24.978,0.39,9.695910204486451e+16,1.2642302365198623,3.9927140255009106
11,1400.0792,25.096,0.391,9.72978191031337e+16,1.258659166141148,3.9927140255009106
12,1410.5041,24.91,0.389,9.72117957232558e+16,1.2186684712876368,3.9927140255009106
13,1411.5123,24.892,0.388,9.721717218449818e+16,1.159613130736525,3.9927140255009106
14,1399.8791,25.099,0.391,9.731932494810317e+16,1.2021944844809762,3.9927140255009106
15,1410.5738,24.909,0.388,9.707200773095424e+16,1.3119787743491849,3.9927140255009106
16,1407.0381,24.972,0.389,9.707200773095424e+16,1.2590497810475147,3.9927140255009106
17,1415.1002,24.829,0.387,9.720641926201344e+16,1.2239287647887738,3.9927140255009106
18,1407.6327,24.961,0.389,9.71634075720745e+16,1.2465605561750648,3.9927140255009106
19,1406.9796,24.973,0.389,9.698060788983398e+16,1.2818536010101764,3.9927140255009106
20,1408.0816,24.953,0.389,9.717416049455923e+16,1.2610595330704737,3.9927140255009106
21,1408.4617,24.946,0.389,9.724943095195238e+16,1.1748745145588895,3.9927140255009106
22,1398.1478,25.13,0.392,9.71634075720745e+16,1.1946498808199473,3.9927140255009106
23,1406.8814,24.974,0.39,9.710964295965082e+16,1.1818406016287142,3.9927140255009106
24,1409.5912,24.926,0.389,9.72816897194066e+16,1.2038232192505884,3.9927140255009106
25,1407.1856,24.969,0.389,9.734083079307264e+16,1.3791522109595529,3.9927140255009106
26,1407.3412,24.966,0.389,9.720104280077107e+16,1.203495045648004,3.9927140255009106
27,1406.4022,24.983,0.39,9.71795369558016e+16,1.1754997063727275,3.9927140255009106
28,1400.8987,25.081,0.391,9.73139484868608e+16,1.232650775979035,3.9927140255009106
29,1409.2168,24.933,0.389,9.737846602176922e+16,1.2397529713428803,3.9927140255009106
