setting_index,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,epoch
0,1421.9803,24.481,0.383,9.793291358738842e+16,1.2036069925217068,4.0
1,1413.6101,24.626,0.385,9.764056850733466e+16,1.147765350254143,4.0
2,1417.2566,24.563,0.384,9.77339845214208e+16,1.165779817630263,4.0
3,1418.4888,24.542,0.384,9.781295129591808e+16,1.1529687134658588,4.0
4,1416.499,24.576,0.384,9.77759881248768e+16,1.2108230170081644,4.0
5,1418.1946,24.547,0.384,9.789830261814067e+16,1.1187615885454065,4.0
6,1419.7063,24.521,0.383,9.777027563480678e+16,1.1947051185895414,4.0
7,1418.0324,24.55,0.384,9.779648588336333e+16,1.1469271730850725,4.0
8,1419.0515,24.532,0.383,9.768794857203302e+16,1.1269939936259215,4.0
9,1414.4289,24.612,0.385,9.748028275654656e+16,1.1381644873934633,4.0
10,1413.8318,24.622,0.385,9.767417139009946e+16,1.2527705019011217,4.0
11,1413.7972,24.623,0.385,9.775885065466675e+16,1.1859981224817389,4.0
12,1414.0541,24.619,0.385,9.762040677767578e+16,1.1341559203232037,4.0
13,1418.1587,24.547,0.384,9.784117771744051e+16,1.138825630002162,4.0
14,1414.4889,24.611,0.385,9.76570339198894e+16,1.2220734134316444,4.0
15,1417.2185,24.564,0.384,9.771113456114074e+16,1.149427134762792,4.0
16,1414.744,24.607,0.385,9.766879492885709e+16,1.220672979074366,4.0
17,1418.1587,24.547,0.384,9.780320645991629e+16,1.161848321557045,4.0
18,1421.9016,24.483,0.383,9.783580125619814e+16,1.1461149568066877,4.0
19,1414.4042,24.612,0.385,9.757705905890918e+16,1.1580883509972517,4.0
20,1417.077,24.566,0.384,9.778707707618918e+16,1.1603488939649917,4.0
21,1420.3688,24.509,0.383,9.777632415370445e+16,1.164212855784332,4.0
22,1419.7332,24.52,0.383,9.772759997369549e+16,1.158991595839753,4.0
23,1416.1337,24.582,0.384,9.776019476997734e+16,1.1825253998532015,4.0
24,1416.5667,24.575,0.384,9.75491686662144e+16,1.1662126279929106,4.0
25,1414.8329,24.605,0.384,9.778136458611917e+16,1.202831279267283,4.0
26,1420.0185,24.515,0.383,9.78522666687529e+16,1.1246528217897696,4.0
27,1416.5341,24.575,0.384,9.77178551376937e+16,1.1670531279900496,4.0
28,1416.7316,24.572,0.384,9.766341846761472e+16,1.1788717876462376,4.0
29,1418.013,24.55,0.384,9.772155145479782e+16,1.150724836570375,4.0
